GeneID	GO_ID	Evidence	GO_term	PubMed	Ensembl_gene_identifier
14	GO:0009986	IDA	cell surface	10329261	ENSG00000127837
19	GO:0009897	IEA	external side of plasma membrane	-	ENSG00000165029
41	GO:0009986	IEA	cell surface	-	ENSG00000110881
43	GO:0009986	IEA	cell surface	-	ENSG00000087085
91	GO:0009986	IDA	cell surface	12665502	ENSG00000135503
92	GO:0009986	IEA	cell surface	-	ENSG00000121989
94	GO:0009986	IDA	cell surface	8242742	ENSG00000139567
100	GO:0009897	IBA	external side of plasma membrane	21873635	ENSG00000196839
100	GO:0009897	IDA	external side of plasma membrane	7759315|16670267	ENSG00000196839
100	GO:0009986	IDA	cell surface	7594462|11772392	ENSG00000196839
101	GO:0009986	IDA	cell surface	17548643	ENSG00000151651
102	GO:0009986	IDA	cell surface	12475894|23035126|23091066	ENSG00000137845
117	GO:0009986	IEA	cell surface	-	ENSG00000078549
151	GO:0009986	IDA	cell surface	27901063	ENSG00000274286
177	GO:0009986	NAS	cell surface	15457210	ENSG00000204305
214	GO:0009897	IEA	external side of plasma membrane	-	ENSG00000170017
250	GO:0009986	IDA	cell surface	15907827	ENSG00000163283
259	GO:0009986	IBA	cell surface	21873635	ENSG00000106927
265	GO:0009986	ISS	cell surface	1734713	ENSG00000125363
288	GO:0009986	ISS	cell surface	21223964	ENSG00000151150
290	GO:0009897	IEA	external side of plasma membrane	-	ENSG00000166825
301	GO:0009986	IDA	cell surface	22056994	ENSG00000135046
301	GO:0031232	IDA	extrinsic component of external side of plasma membrane	19625660	ENSG00000135046
302	GO:0009986	IDA	cell surface	10809787|25139904	ENSG00000182718
307	GO:0009986	IDA	cell surface	22056994	ENSG00000196975
308	GO:0009897	IEA	external side of plasma membrane	-	ENSG00000164111
335	GO:0009986	IEA	cell surface	-	ENSG00000118137
337	GO:0009986	IDA	cell surface	1935934	ENSG00000110244
350	GO:0009986	IDA	cell surface	16480936	ENSG00000091583
351	GO:0009986	IDA	cell surface	7593229|18353773	ENSG00000142192
355	GO:0009986	IDA	cell surface	22891283	ENSG00000026103
356	GO:0009897	IEA	external side of plasma membrane	-	ENSG00000117560
