Ensembl_GeneID_A,Ensembl_GeneID_B,GeneA,GeneB,min
ENSG00000120885,ENSG00000120885,CLU,CLU,819.913427271616
ENSG00000120885,ENSG00000163513,CLU,TGFBR2,819.913427271616
ENSG00000106799,ENSG00000163513,TGFBR1,TGFBR2,16.8605583168374
ENSG00000103496,ENSG00000117533,STX4,VAMP4,28.6298166784474
ENSG00000103496,ENSG00000049245,STX4,VAMP3,98.0402850052431
ENSG00000165675,ENSG00000120658,ENOX2,ENOX1,10.6787367789097
ENSG00000122861,ENSG00000135919,PLAU,SERPINE2,36.0181260020506
ENSG00000101017,ENSG00000179218,CD40,CALR,156.910456535173
ENSG00000101017,ENSG00000023318,CD40,ERP44,15.4610613578654
ENSG00000157873,ENSG00000185624,TNFRSF14,P4HB,67.4989096286925
ENSG00000234745,ENSG00000147065,HLA-B,MSN,238.812169619263
ENSG00000067182,ENSG00000232810,TNFRSF1A,TNF,14.6450350349106
ENSG00000204217,ENSG00000109846,BMPR2,CRYAB,769.023575561872
ENSG00000039068,ENSG00000105976,CDH1,MET,5.56053577132449
ENSG00000204217,ENSG00000106799,BMPR2,TGFBR1,21.2999558640556
ENSG00000204217,ENSG00000135503,BMPR2,ACVR1B,30.4422270892733
ENSG00000026103,ENSG00000120889,FAS,TNFRSF10B,7.86688286583208
ENSG00000117560,ENSG00000120889,FASLG,TNFRSF10B,7.86688286583208
ENSG00000147065,ENSG00000120889,MSN,TNFRSF10B,41.8713200031318
ENSG00000067182,ENSG00000120889,TNFRSF1A,TNFRSF10B,14.6450350349106
ENSG00000026103,ENSG00000117560,FAS,FASLG,5.82113691070639
ENSG00000147065,ENSG00000117560,MSN,FASLG,41.8713200031318
ENSG00000026103,ENSG00000147065,FAS,MSN,41.8713200031318
ENSG00000026103,ENSG00000067182,FAS,TNFRSF1A,14.6450350349106
ENSG00000117560,ENSG00000067182,FASLG,TNFRSF1A,14.6450350349106
ENSG00000147065,ENSG00000067182,MSN,TNFRSF1A,41.8713200031318
ENSG00000039068,ENSG00000083457,CDH1,ITGAE,4.67059587166164
ENSG00000107779,ENSG00000125845,BMPR1A,BMP2,4.13824688139187
ENSG00000039068,ENSG00000039068,CDH1,CDH1,1.41374853154227
ENSG00000039068,ENSG00000039068,CDH1,CDH1,1.41374853154227
ENSG00000062038,ENSG00000039068,CDH3,CDH1,2.75022284236689
ENSG00000039068,ENSG00000062038,CDH1,CDH3,2.75022284236689
ENSG00000204217,ENSG00000107779,BMPR2,BMPR1A,21.2999558640556
ENSG00000125845,ENSG00000204217,BMP2,BMPR2,21.2999558640556
ENSG00000107779,ENSG00000204217,BMPR1A,BMPR2,21.2999558640556
ENSG00000039068,ENSG00000062038,CDH1,CDH3,2.75022284236689
ENSG00000062038,ENSG00000062038,CDH3,CDH3,2.75022284236689
ENSG00000062038,ENSG00000062038,CDH3,CDH3,2.75022284236689
ENSG00000105976,ENSG00000039068,MET,CDH1,5.56053577132449
ENSG00000160255,ENSG00000011422,ITGB2,PLAUR,10.8579373212944
ENSG00000150093,ENSG00000005884,ITGB1,ITGA3,37.0742177402473
ENSG00000168140,ENSG00000105329,VASN,TGFB1,19.3390885704473
ENSG00000168140,ENSG00000119699,VASN,TGFB3,32.2494420816528
ENSG00000171603,ENSG00000142192,CLSTN1,APP,561.011237502744
ENSG00000171603,ENSG00000080815,CLSTN1,PSEN1,328.81050904989
ENSG00000170558,ENSG00000140937,CDH2,CDH11,28.5544283286478
ENSG00000140937,ENSG00000170558,CDH11,CDH2,28.5544283286478
ENSG00000196581,ENSG00000039068,AJAP1,CDH1,10.6835122069564
ENSG00000146648,ENSG00000146648,EGFR,EGFR,7.03557566853002
ENSG00000179915,ENSG00000169760,NRXN1,NLGN1,21.4528004724712
ENSG00000079385,ENSG00000182718,CEACAM1,ANXA2,10.9473800823559
ENSG00000079385,ENSG00000182718,CEACAM1,ANXA2,10.9473800823559
ENSG00000184144,ENSG00000174469,CNTN2,CNTNAP2,147.087610783575
ENSG00000174469,ENSG00000184144,CNTNAP2,CNTN2,147.087610783575
ENSG00000142192,ENSG00000171603,APP,CLSTN1,561.011237502744
ENSG00000091972,ENSG00000163606,CD200,CD200R1,79.1307160618468
ENSG00000150637,ENSG00000073008,CD226,PVR,20.4936232216927
ENSG00000150637,ENSG00000130202,CD226,PVRL2,12.0142485713525
ENSG00000104972,ENSG00000206503,LILRB1,HLA-A,219.943164859349
ENSG00000188389,ENSG00000197646,PDCD1,PDCD1LG2,0.746751064373275
ENSG00000180871,ENSG00000180871,CXCR2,CXCR2,0.639988458633737
ENSG00000232810,ENSG00000067182,TNF,TNFRSF1A,14.6450350349106
ENSG00000117560,ENSG00000026103,FASLG,FAS,5.82113691070639
ENSG00000105369,ENSG00000007312,CD79A,CD79B,0.460566423517388
ENSG00000204632,ENSG00000204632,HLA-G,HLA-G,6.10506907817044
ENSG00000131042,ENSG00000234745,LILRB2,HLA-B,238.812169619263
ENSG00000131042,ENSG00000204525,LILRB2,HLA-C,208.972037083941
ENSG00000131042,ENSG00000204632,LILRB2,HLA-G,6.10506907817044
ENSG00000104972,ENSG00000234745,LILRB1,HLA-B,238.812169619263
ENSG00000104972,ENSG00000204525,LILRB1,HLA-C,208.972037083941
ENSG00000104972,ENSG00000204632,LILRB1,HLA-G,6.10506907817044
ENSG00000124333,ENSG00000103496,VAMP7,STX4,29.8804844361943
ENSG00000103496,ENSG00000049245,STX4,VAMP3,98.0402850052431
ENSG00000151150,ENSG00000129159,ANK3,KCNC1,87.0471349152588
ENSG00000204525,ENSG00000204525,HLA-C,HLA-C,208.972037083941
ENSG00000186810,ENSG00000169245,CXCR3,CXCL10,26.6846117101401
ENSG00000186810,ENSG00000138755,CXCR3,CXCL9,1.38416706086941
ENSG00000019582,ENSG00000240972,CD74,MIF,313.097891573292
ENSG00000019582,ENSG00000240972,CD74,MIF,313.097891573292
ENSG00000164111,ENSG00000082781,ANXA5,ITGB5,95.9029062757346
ENSG00000082781,ENSG00000164111,ITGB5,ANXA5,95.9029062757346
ENSG00000119699,ENSG00000163513,TGFB3,TGFBR2,32.2494420816528
ENSG00000113070,ENSG00000146648,HBEGF,EGFR,14.1002015638009
ENSG00000134352,ENSG00000122756,IL6ST,CNTFR,104.758945574865
ENSG00000113594,ENSG00000122756,LIFR,CNTFR,104.758945574865
ENSG00000122756,ENSG00000113594,CNTFR,LIFR,104.758945574865
ENSG00000122756,ENSG00000134352,CNTFR,IL6ST,104.758945574865
ENSG00000167085,ENSG00000182718,PHB,ANXA2,32.8212194307429
ENSG00000167085,ENSG00000182718,PHB,ANXA2,32.8212194307429
ENSG00000167085,ENSG00000182718,PHB,ANXA2,32.8212194307429
ENSG00000148400,ENSG00000074181,NOTCH1,NOTCH3,10.5716346983681
ENSG00000196576,ENSG00000105894,PLXNB2,PTN,186.814017892826
ENSG00000173535,ENSG00000118137,TNFRSF10C,APOA1,1.0689415207079
ENSG00000040731,ENSG00000105894,CDH10,PTN,186.814017892826
ENSG00000080824,ENSG00000080824,HSP90AA1,HSP90AA1,748.718467292496
ENSG00000185624,ENSG00000105894,P4HB,PTN,186.814017892826
ENSG00000163599,ENSG00000121594,CTLA4,CD80,0.46707531140508
ENSG00000178562,ENSG00000121594,CD28,CD80,0.150858629495752
ENSG00000010704,ENSG00000072274,HFE,TFRC,18.0244327228121
ENSG00000072274,ENSG00000010704,TFRC,HFE,18.0244327228121
ENSG00000079385,ENSG00000124469,CEACAM1,CEACAM8,0.845441603742456
ENSG00000026103,ENSG00000117560,FAS,FASLG,5.82113691070639
ENSG00000157404,ENSG00000010278,KIT,CD9,79.2852129223681
ENSG00000157404,ENSG00000135404,KIT,CD63,153.996793671652
ENSG00000010278,ENSG00000157404,CD9,KIT,79.2852129223681
ENSG00000135404,ENSG00000157404,CD63,KIT,153.996793671652
ENSG00000134853,ENSG00000197461,PDGFRA,PDGFA,23.3274928249845
ENSG00000134853,ENSG00000100311,PDGFRA,PDGFB,16.5505993566301
