ensembl_gene_id,uniprotkb_canonical_ac,status,genename,brain
ENSMUSG00000002010,P70404-1,reviewed,"""Idh3g""",7.7217
ENSMUSG00000002017,Q3TJZ6-1,reviewed,"""Fam98a""",4.3702
ENSMUSG00000028184,Q8JZZ7-1,reviewed,"""Adgrl2""",4.1934
ENSMUSG00000002015,Q61335-1,reviewed,"""Bcap31""",5.2822
ENSMUSG00000002014,Q62186-1,reviewed,"""Ssr4""",5.9344
ENSMUSG00000002825,Q9JMA2-1,reviewed,"""Qtrt1""",3.525
ENSMUSG00000031807,Q9CQ60-1,reviewed,"""Pgls""",4.1871
ENSMUSG00000046020,Q91ZW2-1,reviewed,"""Pofut1""",2.8171
ENSMUSG00000046027,Q9EPQ7-1,reviewed,"""Stard5""",2.9878
ENSMUSG00000046756,Q80X85-1,reviewed,"""Mrps7""",4.3229
ENSMUSG00000035139,Q3U1C4-1,unreviewed,"""Secisbp2""",3.4108
ENSMUSG00000020755,Q02614-1,reviewed,"""Sap30bp""",4.8795
ENSMUSG00000071379,P62748-1,reviewed,"""Hpcal1""",5.1832
ENSMUSG00000020752,Q8VID5-1,reviewed,"""Recql5""",3.6907
ENSMUSG00000056493,P42128-1,reviewed,"""Foxk1""",3.0508
ENSMUSG00000038762,Q6P542-1,reviewed,"""Abcf1""",5.3366
ENSMUSG00000027671,Q9Z2N8-1,reviewed,"""Actl6a""",3.2134
ENSMUSG00000038127,Q810U5-1,reviewed,"""Ccdc50""",3.7751
ENSMUSG00000066415,Q69ZF8-1,reviewed,"""Msl2""",3.4399
ENSMUSG00000044533,P25444-1,reviewed,"""Rps2""",7.1812
ENSMUSG00000038893,Q7TNF9-1,reviewed,"""Fam117a""",2.312
ENSMUSG00000039347,Q91XE7-1,reviewed,"""Atp6v0e2""",7.4753
ENSMUSG00000019916,Q60715-1,reviewed,"""P4ha1""",3.7125
ENSMUSG00000004947,Q8R3P2-1,reviewed,"""Dtx2""",1.9369
ENSMUSG00000004945,Q8VCR3-1,reviewed,"""Tmem242""",4.2706
ENSMUSG00000027405,Q9D6Z1-1,reviewed,"""Nop56""",6.0192
ENSMUSG00000020366,Q9WTU6-1,reviewed,"""Mapk9""",5.8543
ENSMUSG00000020362,Q8K3P5-1,reviewed,"""Cnot6""",3.833
ENSMUSG00000038895,Q6YND2-1,reviewed,"""Znf653""",3.7261
ENSMUSG00000020368,P35564-1,reviewed,"""Canx""",7.2238
ENSMUSG00000018209,Q9JI11-1,reviewed,"""Stk4""",3.263
ENSMUSG00000001270,Q04447-1,reviewed,"""Ckb""",10.2041
ENSMUSG00000010392,O88630-1,reviewed,"""Gosr1""",3.7797
ENSMUSG00000041530,Q8CJG1-1,reviewed,"""Ago1""",3.9711
ENSMUSG00000034957,P53566-1,reviewed,"""Cebpa""",1.3485
ENSMUSG00000048285,Q8C0V9-1,reviewed,"""Frmd6""",2.8567
ENSMUSG00000037601,P15532-1,reviewed,"""Nme1""",6.5183
ENSMUSG00000058569,Q99KF1-1,reviewed,"""Tmed9""",5.5575
ENSMUSG00000055805,Q9JL26-1,reviewed,"""Fmnl1""",5.53
ENSMUSG00000001098,Q922M3-1,reviewed,"""Kctd10""",4.4561
ENSMUSG00000022974,P58501-1,reviewed,"""Paxbp1""",5.509
ENSMUSG00000031626,Q3UTJ2-1,reviewed,"""Sorbs2""",5.3946
ENSMUSG00000037149,Q91VR5-1,reviewed,"""Ddx1""",5.5381
ENSMUSG00000001891,Q91ZJ5-1,reviewed,"""Ugp2""",4.7249
ENSMUSG00000031156,Q9R0M8-1,reviewed,"""Slc35a2""",4.1255
ENSMUSG00000020986,Q01405-1,reviewed,"""Sec23a""",4.6399
ENSMUSG00000020988,Q91YP0-1,reviewed,"""L2hgdh""",2.4307
ENSMUSG00000039652,Q7TN99-1,reviewed,"""Cpeb3""",4.1562
ENSMUSG00000033684,Q8BND5-1,reviewed,"""Qsox1""",3.5981
ENSMUSG00000033685,P70406-1,reviewed,"""Ucp2""",4.3555
ENSMUSG00000024537,Q9EST4-1,reviewed,"""Psmg2""",3.7461
ENSMUSG00000024538,P30412-1,reviewed,"""Ppic""",1.0057
ENSMUSG00000026209,Q9Z2W0-1,reviewed,"""Dnpep""",4.6696
ENSMUSG00000026201,O88697-1,reviewed,"""Stk16""",6.0877
ENSMUSG00000026202,P68368-1,reviewed,"""Tuba4a""",7.1255
ENSMUSG00000026203,Q9QYI5-3,reviewed,"""Dnajb2""",4.8698
ENSMUSG00000030884,Q9DB77-1,reviewed,"""Uqcrc2""",6.8097
ENSMUSG00000026754,Q9CW79-1,reviewed,"""Golga1""",4.2645
ENSMUSG00000026207,Q62407-1,reviewed,"""Speg""",5.8706
ENSMUSG00000007338,Q9CQ40-1,reviewed,"""Mrpl49""",4.2378
ENSMUSG00000030082,P61620-1,reviewed,"""Sec61a1""",4.9877
ENSMUSG00000054920,Q6PFE1-1,unreviewed,"""Klhl5""",4.371
ENSMUSG00000030084,P70206-1,reviewed,"""Plxna1""",4.079
ENSMUSG00000030087,Q9EPW2-1,reviewed,"""Klf15""",3.4683
ENSMUSG00000030086,Q91VN4-1,reviewed,"""Chchd6""",5.5801
ENSMUSG00000030089,Q921R8-1,reviewed,"""Slc41a3""",1.8259
ENSMUSG00000030088,Q8R0Y6-1,reviewed,"""Aldh1l1""",4.6102
ENSMUSG00000057541,Q91VU7-1,reviewed,"""Pus7""",3.1344
ENSMUSG00000073409,P79568-1,unreviewed,"""H2-Q6""",0.1714
ENSMUSG00000031938,Q91V76-1,reviewed,,3.1571
ENSMUSG00000041346,Q8VC51-1,reviewed,"""Wrap53""",2.7267
ENSMUSG00000031422,Q9R0Q4-1,reviewed,"""Morf4l2""",6.951
ENSMUSG00000000326,O88587-1,reviewed,"""Comt""",5.9494
ENSMUSG00000000325,P98203-1,reviewed,"""Arvcf""",4.1626
ENSMUSG00000031935,Q8VCD5-1,reviewed,"""Med17""",2.7736
ENSMUSG00000038650,Q91VI7-1,reviewed,"""Rnh1""",4.1305
ENSMUSG00000023186,Q99KC8-1,reviewed,"""Vwa5a""",2.0465
ENSMUSG00000038658,Q69ZJ7-1,reviewed,"""Ric1""",3.8328
ENSMUSG00000030339,P50284-1,reviewed,"""Ltbr""",2.5386
ENSMUSG00000062078,Q9QYS9-1,reviewed,"""Qki""",6.1289
ENSMUSG00000062075,P21619-1,reviewed,"""Lmnb2""",3.4689
ENSMUSG00000030330,Q8C0D7-1,reviewed,"""Ing4""",4.9296
ENSMUSG00000030337,Q62442-1,reviewed,"""Vamp1""",5.9562
ENSMUSG00000030335,Q9CPY1-1,reviewed,"""Mrpl51""",4.3542
ENSMUSG00000062070,P09411-1,reviewed,"""Pgk1""",6.5705
ENSMUSG00000029131,O54946-1,reviewed,"""Dnajb6""",5.6726
ENSMUSG00000030036,Q80UM7-1,reviewed,"""Mogs""",3.5258
ENSMUSG00000028937,Q91V12-1,reviewed,"""Acot7""",7.2223
ENSMUSG00000030037,Q9D1H8-1,reviewed,"""Mrpl53""",5.4375
ENSMUSG00000029009,Q9WU20-1,reviewed,"""Mthfr""",3.5482
ENSMUSG00000034509,Q9DCX1-1,reviewed,"""Mad2l1bp""",2.4977
ENSMUSG00000022051,Q9Z2F7-1,reviewed,"""Bnip3l""",5.9123
ENSMUSG00000037022,Q8C7H1-1,reviewed,"""Mmaa""",3.0614
ENSMUSG00000022052,Q6P1F6-1,reviewed,"""Ppp2r2a""",4.0535
ENSMUSG00000031681,P70340-1,reviewed,"""Smad1""",3.1543
ENSMUSG00000039737,Q9CWV6-1,reviewed,"""Prkrip1""",4.0583
ENSMUSG00000038267,Q3UHH2-1,reviewed,"""Slc22a23""",4.1896
ENSMUSG00000026977,Q9WV66-1,reviewed,"""March7""",4.4999
ENSMUSG00000026974,Q9CQG3-1,reviewed,"""Zmynd19""",3.2228
ENSMUSG00000026975,Q9CYU6-1,reviewed,"""Dph7""",4.071
ENSMUSG00000026972,Q99KN1-1,reviewed,"""Arrdc1""",3.8363
ENSMUSG00000000282,O08789-1,reviewed,"""Mnt""",3.1573
ENSMUSG00000026970,Q91W59-1,reviewed,"""Rbms1""",3.4599
ENSMUSG00000020561,Q78WZ7-1,reviewed,"""Twistnb""",2.1548
ENSMUSG00000020564,Q9CZ05-1,reviewed,"""Atxn7l1""",4.0524
ENSMUSG00000025584,O88502-1,reviewed,"""Pde8a""",2.4938
ENSMUSG00000028234,P60867-1,reviewed,"""Rps20""",6.5346
ENSMUSG00000025580,Q91VC3-1,reviewed,"""Eif4a3""",5.4972
ENSMUSG00000029918,Q9D2R8-1,reviewed,"""Mrps33""",6.212
ENSMUSG00000029916,Q9ESW4-1,reviewed,"""Agk""",3.5955
ENSMUSG00000029911,Q9CYR0-1,reviewed,"""Ssbp1""",4.3152
ENSMUSG00000022270,Q8VE91-4,reviewed,"""Retreg1""",3.4315
ENSMUSG00000022272,F8VQB6-1,reviewed,"""Myo10""",4.0886
ENSMUSG00000027217,Q80WR1-1,reviewed,"""Tspan18""",1.3536
ENSMUSG00000020694,O55047-1,reviewed,"""Tlk2""",4.4524
ENSMUSG00000020696,Q6ZQM0-1,reviewed,"""Rffl""",2.1764
ENSMUSG00000020691,Q8BMK1-1,reviewed,"""Mettl2""",3.681
ENSMUSG00000020692,Q8VEJ4-1,reviewed,"""Nle1""",4.0414
ENSMUSG00000015850,Q80T21-1,reviewed,"""Adamtsl4""",1.5054
ENSMUSG00000034663,Q91Z96-1,reviewed,"""Bmp2k""",1.9335
ENSMUSG00000046562,Q8C4B4-1,reviewed,"""Unc119b""",3.5939
ENSMUSG00000052534,P41778-1,reviewed,"""Pbx1""",5.3426
ENSMUSG00000052533,Q6ZQH8-1,reviewed,"""Nup188""",2.9267
ENSMUSG00000037966,O70131-1,reviewed,"""Ninj1""",4.4103
ENSMUSG00000037965,E9PWW6-1,unreviewed,"""Zc3h7a""",5.5243
ENSMUSG00000037960,Q9D1I2-1,reviewed,"""Card19""",3.4358
ENSMUSG00000063015,Q9Z2V9-1,reviewed,"""Ccni""",6.3724
ENSMUSG00000039048,Q3TQB2-1,reviewed,"""Foxred1""",4.3715
ENSMUSG00000038884,Q8CAK3-1,reviewed,"""Ryden""",6.2309
ENSMUSG00000038886,Q8BRK9-1,reviewed,"""Man2a2""",5.3136
ENSMUSG00000025050,Q99NA9-1,reviewed,"""Pcgf6""",3.4912
ENSMUSG00000025723,Q9CR53-1,reviewed,"""Nmb""",3.8659
ENSMUSG00000028532,Q6PDJ1-1,reviewed,"""Cachd1""",3.3398
ENSMUSG00000029715,Q9DCH2-1,reviewed,"""Pop7""",4.1448
ENSMUSG00000021610,Q8BXA5-1,reviewed,"""Clptm1l""",5.3516
ENSMUSG00000029713,P62880-1,reviewed,"""Gnb2""",8.1633
ENSMUSG00000039130,Q80YV2-1,reviewed,"""Zc3hc1""",3.3338
ENSMUSG00000032656,Q8BRX9-1,reviewed,"""March3""",1.6143
ENSMUSG00000032305,Q14DQ1-1,reviewed,"""Fam219b""",2.5399
ENSMUSG00000032306,Q924M7-1,reviewed,"""Mpi""",5.2223
ENSMUSG00000032307,Q8K2Z8-1,reviewed,"""Ube2q2""",4.2687
ENSMUSG00000097221,Q3V2G9-1,unreviewed,"""1810049J17Rik""",2.6642
ENSMUSG00000059486,G3X9X1-1,unreviewed,"""Kbtbd2""",3.9443
ENSMUSG00000029249,Q8VIG1-1,reviewed,"""Rest""",0.3415
ENSMUSG00000067722,Q6RUT7-1,reviewed,"""Ccsmst1""",3.2261
ENSMUSG00000017721,Q8BXQ2-1,reviewed,"""Pigt""",5.0684
ENSMUSG00000021809,Q8JZU0-1,reviewed,"""Nudt13""",2.3437
ENSMUSG00000021771,Q60930-1,reviewed,"""Vdac2""",6.7561
ENSMUSG00000021770,Q9DA37-1,reviewed,"""Samd8""",3.9918
ENSMUSG00000021773,Q8BIG7-1,reviewed,"""Comtd1""",3.9305
ENSMUSG00000021775,Q60674-1,reviewed,"""Nr1d2""",4.6157
ENSMUSG00000061887,Q9D032-1,reviewed,"""Ssbp3""",5.9639
ENSMUSG00000047044,Q8VCE4-1,reviewed,,3.725
ENSMUSG00000015474,O35448-1,reviewed,"""Ppt2""",4.3945
ENSMUSG00000021811,Q91WN1-1,reviewed,"""Dnajc9""",4.0783
ENSMUSG00000078812,P63242-1,reviewed,"""Eif5a""",7.9845
ENSMUSG00000015478,O35445-1,reviewed,"""Rnf5""",5.4439
ENSMUSG00000048787,Q8K0V2-1,reviewed,"""Dcun1d3""",2.3505
ENSMUSG00000033307,P34884-1,reviewed,"""Mif""",7.9671
ENSMUSG00000033306,Q8BFW7-1,reviewed,"""Lpp""",0.3336
ENSMUSG00000002205,Q8K3G5-1,reviewed,"""Vrk3""",3.9467
ENSMUSG00000027404,P27048-1,reviewed,"""Snrpb""",5.8114
ENSMUSG00000032875,Q80U35-1,reviewed,"""Arhgef17""",4.471
ENSMUSG00000032872,Q3TDX8-4,reviewed,"""Cyb5r4""",3.9734
ENSMUSG00000032870,Q7TN29-1,reviewed,"""Smap2""",5.4469
ENSMUSG00000038462,Q9CR68-1,reviewed,"""Uqcrfs1""",6.1294
ENSMUSG00000027406,Q91VA7-1,unreviewed,"""Idh3b""",7.333
ENSMUSG00000038467,Q9D8B3-1,reviewed,"""Chmp4b""",6.8893
ENSMUSG00000030654,Q9JKW0-1,reviewed,"""Arl6ip1""",6.8427
ENSMUSG00000030655,Q8BKX6-1,reviewed,"""Smg1""",4.1755
ENSMUSG00000037685,P70704-1,reviewed,"""Atp8a1""",4.9301
ENSMUSG00000030652,P97478-1,reviewed,"""Coq7""",4.7692
ENSMUSG00000030653,Q922S4-1,reviewed,"""Pde2a""",5.8793
ENSMUSG00000036376,Q9QYL7-1,reviewed,"""Abt1""",3.475
ENSMUSG00000036371,Q9CY58-1,reviewed,"""Serbp1""",4.9952
ENSMUSG00000036372,P61166-1,reviewed,"""Tmem258""",4.7915
ENSMUSG00000014077,P61022-1,reviewed,"""Chp1""",5.6865
ENSMUSG00000014074,Q80XJ2-1,reviewed,"""Rnf168""",2.9138
ENSMUSG00000014075,Q9CQ66-1,reviewed,"""Tctex1d2""",3.4602
ENSMUSG00000041130,Q80YR4-1,reviewed,"""Znf598""",4.363
ENSMUSG00000041132,Q3V2Q8-1,reviewed,"""N4bp2l1""",3.9878
ENSMUSG00000041135,P58801-1,reviewed,"""Ripk2""",1.3235
ENSMUSG00000076437,Q3UQA7-1,reviewed,"""Selenoh""",4.3621
ENSMUSG00000064120,Q5RKZ7-1,reviewed,"""Mocs1""",2.6815
ENSMUSG00000076432,P68254-1,reviewed,"""Ywhaq""",7.2207
ENSMUSG00000064127,A2ABV5-1,reviewed,"""Med14""",3.9641
ENSMUSG00000016921,Q3TWW8-1,reviewed,"""Srsf6""",5.9808
ENSMUSG00000059518,Q8R331-1,reviewed,"""Znhit1""",5.3897
ENSMUSG00000027346,Q8C0L9-1,reviewed,"""Gpcpd1""",5.2647
ENSMUSG00000027613,O55135-1,reviewed,"""Eif6""",5.2092
ENSMUSG00000027342,P17918-1,reviewed,"""Pcna""",4.5637
ENSMUSG00000027615,Q91VB4-1,reviewed,"""Hps3""",2.8147
ENSMUSG00000027340,Q9EPR4-1,reviewed,"""Slc23a2""",5.4628
ENSMUSG00000027341,Q8CIB6-1,reviewed,"""Tmem230""",4.7644
ENSMUSG00000027618,Q9Z1J3-1,reviewed,"""Nfs1""",4.5622
ENSMUSG00000027349,Q80VD1-1,reviewed,"""Fam98b""",4.2033
ENSMUSG00000014402,Q61187-1,reviewed,"""Tsg101""",4.7025
ENSMUSG00000063200,Q9D7Z3-1,reviewed,"""Nol7""",3.8829
