,BA24,BA9,amygdala,caudate,cerebellum,hippocampus,hypothalamus,nucleus_accumbens,putamen,substantia_nigra,max
ENSG00000000005,1184.54545454545,1717.81132075472,930.875,366.243902439024,79.2272727272727,1345.30434782609,896.909090909091,351.365384615385,184.787234042553,932.214285714286,1717.81132075472
ENSG00000000460,23946.7272727273,34391.9811320755,40569.625,37238.0487804878,118165.409090909,35781,42040.3333333333,39832.1730769231,34675.7872340426,48571.8571428571,118165.409090909
ENSG00000000971,85031.1818181818,142255.452830189,132621,137223.585365854,37171.6363636364,108519.782608696,126056.424242424,126272.5,117791.340425532,200449.428571429,200449.428571429
ENSG00000001167,143174.954545455,224027.056603774,173891.375,157899.365853659,174507.045454545,166353.913043478,161240.212121212,168855.384615385,157737.723404255,201358,224027.056603774
ENSG00000001461,639008.954545455,989478.113207547,697587.625,630465.37804878,1310029.68181818,798746.739130435,866654.757575758,637804.115384615,722723.489361702,1563663.57142857,1563663.57142857
ENSG00000001561,229480.045454545,381621.169811321,191396.875,181182.817073171,114483.772727273,248671.608695652,275656.727272727,185322.519230769,180347.446808511,432259.142857143,432259.142857143
ENSG00000001617,12616.4545454545,19027.4905660377,18735.625,18621.7195121951,19516.6818181818,10475.8695652174,22794.696969697,19207.5,18184.6808510638,18726.5,22794.696969697
ENSG00000001626,2623.54545454545,3785.35849056604,6470,12093.7926829268,1763.09090909091,7917.04347826087,5729.15151515152,11932.7307692308,12177.0425531915,12918.2857142857,12918.2857142857
ENSG00000001629,281668.136363636,413172.283018868,379643.875,346796.5,307536.227272727,389252.52173913,479819.484848485,358921.576923077,324560.765957447,510017.928571429,510017.928571429
ENSG00000002549,51015.6363636364,91834.641509434,71923.375,80793.3536585366,34234.5909090909,64751.1739130435,86313.6060606061,75012.2307692308,69402.1914893617,89949,91834.641509434
ENSG00000002586,257091.636363636,273367.716981132,328156.125,443356.280487805,164367,488447.869565217,748260.848484849,427349.288461538,300093.70212766,680310.5,748260.848484849
ENSG00000002726,370.818181818182,227.698113207547,187.75,362.365853658537,175.272727272727,359.217391304348,529.69696969697,309.884615384615,171.382978723404,379.214285714286,529.69696969697
ENSG00000002745,1252.59090909091,877.283018867925,355.5,559.231707317073,149.454545454545,301.521739130435,457.333333333333,139.711538461538,319.404255319149,87.8571428571429,1252.59090909091
ENSG00000002746,367287.181818182,702718.226415094,121636.875,82618.3658536585,169641.681818182,70374.347826087,123654.272727273,90398.2884615385,77526.0638297872,82402.1428571429,702718.226415094
ENSG00000002834,55323.2272727273,69641.6603773585,40042.625,31873.1097560976,28975.4090909091,29329.1739130435,52298.696969697,43569.5384615385,26298.5531914894,26673.7857142857,69641.6603773585
ENSG00000002919,2055.13636363636,3082.03773584906,1872.5,1879.5487804878,1563.31818181818,1863.26086956522,2346.57575757576,2188.61538461538,1853.46808510638,2631.92857142857,3082.03773584906
ENSG00000002933,33259.7727272727,37360.7547169811,69518.75,66412.9390243902,11722.9545454545,61167.1304347826,84837.1212121212,68818.6730769231,48477.7872340426,86421.2857142857,86421.2857142857
ENSG00000003400,25045,37015.8301886792,32338.875,36635.5,20590.1363636364,33995.8695652174,49507.1515151515,32527.75,34695.3404255319,48398.2857142857,49507.1515151515
ENSG00000003402,216804.409090909,313049.018867925,300839.875,372725.085365854,1241379.04545455,333415.47826087,416111.636363636,459588.903846154,356455.808510638,384299.285714286,1241379.04545455
ENSG00000003509,42090.6363636364,69388.8301886792,33248,36249.8780487805,122823.590909091,34325.0869565217,59383.2121212121,41175.1153846154,32802.2765957447,34319.2142857143,122823.590909091
ENSG00000003756,403908.181818182,634701.716981132,403372.25,420661.402439024,856267.5,413659.608695652,608168.03030303,496791.038461538,377289.085106383,487436.214285714,856267.5
ENSG00000003989,103261.818181818,167962.566037736,81188,100804.62195122,27420.1818181818,86670.3913043478,60812.3939393939,105280.057692308,87151.3191489362,48466.2142857143,167962.566037736
ENSG00000004059,13478.7727272727,18987.8679245283,8855.375,10606.5,7964.86363636364,8857.95652173913,9956,12008.9615384615,10791.4893617021,7237.78571428571,18987.8679245283
ENSG00000004139,21630.9545454545,28734.4528301887,16789.375,18316.9390243902,36596.4545454545,17017.9130434783,30173.6363636364,27327.2884615385,14730.1276595745,13121.6428571429,36596.4545454545
ENSG00000004468,13136.4090909091,16946.641509434,18930.125,44784.4024390244,2192.72727272727,22488.347826087,36140.7878787879,36519.9423076923,33161.2127659574,20719,44784.4024390244
ENSG00000004478,360188.954545455,591164.056603774,247796.875,295136.365853659,827900.090909091,270598.52173913,462774.151515151,342351.096153846,253755.276595745,336960,827900.090909091
ENSG00000004487,98695.6363636364,160753.773584906,66900.75,71960.8780487805,139968.590909091,64181.5217391304,118545.303030303,87037.25,63092.1063829787,61616,160753.773584906
ENSG00000004534,603572.545454545,915064.20754717,624188.625,650904.073170732,1076694.22727273,598836.652173913,843773.333333333,613947.096153846,520169.617021277,631859.071428571,1076694.22727273
ENSG00000004766,263044.318181818,411097.867924528,135202.25,137612.280487805,197234.181818182,157318.086956522,192980.696969697,174266,132115.425531915,141337.071428571,411097.867924528
ENSG00000004777,464125.454545455,488729.886792453,382002,448706,445606.863636364,340906.347826087,436775.727272727,550765.365384615,399748.191489362,381479,550765.365384615
ENSG00000004846,453.545454545455,437.320754716981,294,394.987804878049,724.045454545455,339.782608695652,441.212121212121,384.961538461538,314,472.642857142857,724.045454545455
ENSG00000004866,121993.181818182,176845.245283019,89080.375,95784.3902439024,380441.681818182,83692.9130434783,138984.424242424,105889.211538462,76735.3617021277,73871.5714285714,380441.681818182
ENSG00000004961,92268.5909090909,135380.132075472,63272.5,51778.7317073171,47675.5,56537.3043478261,71497.1818181818,63872.4038461538,49241.8085106383,48015.5714285714,135380.132075472
ENSG00000005007,381311.5,537085.566037736,333271.125,373965.524390244,827777.954545455,333729,477683.121212121,436460.538461538,333283.914893617,367991.714285714,827777.954545455
ENSG00000005022,207174.454545455,310027.490566038,160743.625,190543.609756098,119372.136363636,149713.826086957,163987.939393939,182442.423076923,184791.382978723,194146.285714286,310027.490566038
ENSG00000005059,10124.5909090909,6762.84905660377,7529.25,5542.79268292683,1657.72727272727,7664.60869565217,12718.6363636364,4958.15384615385,4533.10638297872,7258.71428571429,12718.6363636364
ENSG00000005156,30425.7272727273,44097.5471698113,24721.375,26275.2682926829,55547.4545454545,23385.9565217391,35145.2727272727,33623.1346153846,23121.2127659574,23857.5,55547.4545454545
ENSG00000005187,2934.27272727273,4064.8679245283,2895.75,3385.0487804878,5119.45454545455,2962.95652173913,5631.69696969697,3598.59615384615,2759.17021276596,3593.5,5631.69696969697
ENSG00000005189,11674.1363636364,18498.6037735849,8933.125,8652.5,22674.8636363636,5753.34782608696,12623.7878787879,14120.8269230769,7704.95744680851,5472.07142857143,22674.8636363636
ENSG00000005206,124239.909090909,175428.056603774,114048.375,137103.756097561,327007.909090909,124121.826086957,199456.909090909,151709.384615385,127552.489361702,136583.285714286,327007.909090909
ENSG00000005249,530385.318181818,903495.358490566,279269.875,430340.987804878,81815.1363636364,238861.652173913,339987.090909091,521282,405433.212765957,166829.071428571,903495.358490566
ENSG00000005302,200715.681818182,299208.849056604,159672.125,131576.475609756,156629.318181818,145666.434782609,207932.757575758,158239.980769231,113781.808510638,144203,299208.849056604
ENSG00000005469,76625.6818181818,111720.886792453,58169.625,68202.256097561,78155.5,49192.6086956522,76073.2727272727,85298.6730769231,59853.7021276596,48471.8571428571,111720.886792453
ENSG00000005483,92597.2272727273,158060.471698113,92129.75,86096.6219512195,194639.954545455,91827.4347826087,108819.666666667,86609.4423076923,84265.9787234043,114317.857142857,194639.954545455
ENSG00000005486,97125.6363636364,107161.735849057,53978.25,73592.243902439,32801,60995.0869565217,150962.272727273,121425.673076923,67796.0212765957,49816.5,150962.272727273
ENSG00000005513,55743.9545454545,61080.7358490566,112405.125,97873.6951219512,17257.5454545455,99876.9565217391,85446.9393939394,100743.384615385,105077.14893617,158032.285714286,158032.285714286
ENSG00000005844,2369.31818181818,3642.94339622642,9659.625,6034.01219512195,5916,7866.13043478261,10011.8484848485,4569.05769230769,3387.72340425532,10727.6428571429,10727.6428571429
ENSG00000005882,236731.181818182,328306,165129.125,226796.231707317,538966.272727273,134937.304347826,167854.545454545,304884.076923077,201123.787234043,135686.285714286,538966.272727273
ENSG00000005884,120097.090909091,162513.528301887,68416.125,84950.5,287549.409090909,69390.7391304348,196186.727272727,109853,67839,52394.5714285714,287549.409090909
ENSG00000005889,80609.5454545455,123116.056603774,102588,101288.012195122,168013.590909091,99126.3043478261,114057.848484848,109634.980769231,86891.8936170213,100221.214285714,168013.590909091
ENSG00000005981,10809.1363636364,15831.5849056604,17094,20892.6463414634,8182.45454545455,16591.6956521739,22517.4545454545,15405.4038461538,14261.3404255319,19326,22517.4545454545
ENSG00000006015,1984.09090909091,3013,965.25,1958.24390243902,3211.72727272727,1722.26086956522,1566.09090909091,2637.17307692308,902.425531914894,240.142857142857,3211.72727272727
ENSG00000006042,103568.409090909,144841.188679245,254637.625,235815.731707317,85660.7272727273,319082.565217391,215457.727272727,192825.153846154,268284.957446809,588547.214285714,588547.214285714
ENSG00000006116,588162.772727273,735664.339622642,338915.5,314230.134146341,11128.8181818182,300007.47826087,86163.9393939394,353704,265156.787234043,46850.8571428571,735664.339622642
ENSG00000006118,27890.9090909091,36035.0188679245,24350.875,25012.1463414634,49451.1363636364,16074.0869565217,25347.696969697,23577.4038461538,19061.0212765957,12226.5714285714,49451.1363636364
ENSG00000006125,2239874.63636364,3108561.11320755,1525556.375,1436792.15853659,1266387.40909091,1479969.60869565,1973631.36363636,1664262.23076923,1335297.72340426,1426079.92857143,3108561.11320755
ENSG00000006128,149777.727272727,145340.811320755,66500.375,1010071.51219512,2621.72727272727,109108.391304348,378979.363636364,761109.826923077,941187.276595745,179232.428571429,1010071.51219512
ENSG00000006194,155056.590909091,230790.509433962,124287.125,147733.646341463,219805.318181818,131783.608695652,180203.818181818,171570.884615385,139469.404255319,134606.785714286,230790.509433962
ENSG00000006210,816205.409090909,1076494.71698113,392292.5,633715.524390244,76840.3636363636,451226.739130435,521372.727272727,642716.211538462,690567.829787234,256651.214285714,1076494.71698113
ENSG00000006282,352494.681818182,419100.981132075,265156.875,240368.182926829,433143.136363636,188881.086956522,411239,262860.961538462,211486.765957447,227651.5,433143.136363636
ENSG00000006283,124169.636363636,234452.641509434,51785.375,29676.2682926829,273010.318181818,27857.7826086957,186467.212121212,24364.8269230769,29006.3617021277,30308.1428571429,273010.318181818
ENSG00000006327,2153.31818181818,5343.62264150943,3291.75,9540.32926829268,5555.13636363636,7092.5652173913,10193.2424242424,12801.6730769231,5178.8085106383,6113.78571428571,12801.6730769231
ENSG00000006377,16159.0454545455,18392.9245283019,14075.625,96428.4756097561,181.590909090909,7378.47826086957,38795,106752.076923077,102738.723404255,12216.5714285714,106752.076923077
ENSG00000006451,121691.227272727,170935.886792453,124832.125,123637.365853659,85197.1363636364,128157.826086957,134526.727272727,147356.480769231,120387.042553191,154522.071428571,170935.886792453
ENSG00000006530,80628.0909090909,145670.113207547,47358.375,44084.9268292683,68810.2272727273,44206.7391304348,74158.2727272727,57439.0576923077,39613.0212765957,38945.5714285714,145670.113207547
ENSG00000006534,2873.86363636364,2804.24528301887,3326,5140.0487804878,971.090909090909,4735.69565217391,5222.0303030303,6350.44230769231,4255.14893617021,8212,8212
ENSG00000006576,102471.318181818,188439.018867925,89990,86720.0243902439,138431.818181818,85507.7826086956,109762.424242424,98595.3461538462,82633.0638297872,96872.5,188439.018867925
ENSG00000006607,100473.090909091,132481,97422,113776.646341463,301147.090909091,107686,138355.666666667,119831.288461538,113882.617021277,141064.214285714,301147.090909091
ENSG00000006634,7627.18181818182,14075.2075471698,5364.625,8646.87804878049,24107.7727272727,5269.91304347826,8662,11455.1730769231,8535.44680851064,5406.14285714286,24107.7727272727
ENSG00000006652,142755.818181818,242172.20754717,153116.375,212553.37804878,186523.136363636,214978.869565217,255232.757575758,215176.038461538,183319.255319149,199399.285714286,255232.757575758
ENSG00000006659,66.8181818181818,59.3207547169811,18.375,39.2560975609756,32.1363636363636,19.7391304347826,109.575757575758,16.8269230769231,24.4042553191489,40.5,109.575757575758
ENSG00000006695,17075.8636363636,25152.9433962264,9755.25,11923.5487804878,20929.2727272727,11139.7826086957,18009,14254.7692307692,11110.085106383,11552.3571428571,25152.9433962264
ENSG00000006704,58048.3636363636,81152.5094339623,50801.625,64436.7804878049,53113.0909090909,45641.652173913,114495.393939394,74519.5769230769,52866.6808510638,70075.5,114495.393939394
ENSG00000006740,223184.636363636,298979.79245283,104641.125,96439.8414634146,250297.409090909,122131,163333.727272727,144068.730769231,98938.3191489362,82279.8571428571,298979.79245283
ENSG00000006747,16318.3181818182,22309.9811320755,98606.75,86596.0975609756,6967.22727272727,79912.4347826087,100836.303030303,121855.134615385,55842.0212765957,107573.714285714,121855.134615385
ENSG00000006831,348359.5,578493.660377358,617397.125,486424.743902439,282191.818181818,723466.217391304,609836.151515151,405711.692307692,524073.617021277,1355456.85714286,1355456.85714286
ENSG00000007001,16057.5909090909,16203.7169811321,18746.75,11325.8170731707,15238.0909090909,16308.3043478261,11376.2727272727,20538.9038461538,9375.10638297872,5830.92857142857,20538.9038461538
ENSG00000007038,515.727272727273,891.339622641509,536,1532.06097560976,520.454545454545,607.782608695652,643.151515151515,1007.57692307692,1048.21276595745,729.857142857143,1532.06097560976
ENSG00000007047,494912.909090909,539799.150943396,331301.75,466121,230429.181818182,398392.304347826,363858.242424242,461979.384615385,486852.021276596,256696.071428571,539799.150943396
ENSG00000007080,392708.590909091,440607.754716981,308644,277608.317073171,159397.863636364,301833.043478261,332681.606060606,277943.057692308,274434.276595745,323738.785714286,440607.754716981
ENSG00000007129,1602.95454545455,27600.2452830189,4802.75,2267.41463414634,11353.0909090909,2675.26086956522,16774.1818181818,2402.82692307692,2091.02127659574,8528.35714285714,27600.2452830189
ENSG00000007168,1040826.09090909,1699192.20754717,599063.375,535598.634146341,828457.727272727,572595.608695652,996175.818181818,674783.980769231,524090.063829787,653047.714285714,1699192.20754717
ENSG00000007174,46139.1818181818,70439.9056603774,47021.75,134520.012195122,7994.13636363636,169906.826086957,287110.424242424,122638.076923077,37526.5957446809,43403.6428571429,287110.424242424
ENSG00000007216,255.818181818182,416.679245283019,89.125,240.914634146341,54.3181818181818,270.565217391304,266.030303030303,160.673076923077,223.063829787234,56.2142857142857,416.679245283019
ENSG00000007350,1122.90909090909,1865.88679245283,2054.5,3493.87804878049,310.590909090909,2073.21739130435,2182.9696969697,2943.84615384615,2056.14893617021,1067.42857142857,3493.87804878049
ENSG00000007516,730960.409090909,749231.132075472,486621.125,201964.207317073,5463.36363636364,439662.304347826,2092180.09090909,451874.903846154,83305.1489361702,75957.4285714286,2092180.09090909
ENSG00000007541,63337.8636363636,88688.2830188679,38908.375,53342.5609756098,100961.909090909,46177.8695652174,74627.0606060606,72472.6730769231,44434.0212765957,35411.7857142857,100961.909090909
ENSG00000007545,4787.22727272727,6222.69811320755,3554.75,4906.03658536585,30434.1363636364,4180.30434782609,7195.15151515152,5761.28846153846,4041.85106382979,4148.35714285714,30434.1363636364
