,amygdala,BA24,BA9,caudate,cerebellum,hippocampus,hypothalamus,nucleus_accumbens,putamen,substantia_nigra,max
ENSG00000120885,4107198.625,4269643.27272727,6148581.37735849,5762080.1097561,2955051.13636364,4089019.82608696,4682496.3030303,5392554.01923077,4537316.89361702,4064411.28571429,6148581.37735849
ENSG000001208851,4107198.625,4269643.27272727,6148581.37735849,5762080.1097561,2955051.13636364,4089019.82608696,4682496.3030303,5392554.01923077,4537316.89361702,4064411.28571429,6148581.37735849
ENSG00000106799,71058.875,30274.6363636364,58909.3396226415,47262.0243902439,120828.090909091,48477.8695652174,89056.1818181818,38909.4423076923,34633.5744680851,89531.5714285714,120828.090909091
ENSG000001067991,71058.875,30274.6363636364,58909.3396226415,47262.0243902439,120828.090909091,48477.8695652174,89056.1818181818,38909.4423076923,34633.5744680851,89531.5714285714,120828.090909091
ENSG000001067992,71058.875,30274.6363636364,58909.3396226415,47262.0243902439,120828.090909091,48477.8695652174,89056.1818181818,38909.4423076923,34633.5744680851,89531.5714285714,120828.090909091
ENSG00000103496,190103.125,173027.954545455,221560.830188679,172684.902439024,162292.727272727,223088.608695652,228265.575757576,176288.865384615,173287.595744681,399216.285714286,399216.285714286
ENSG000001034961,190103.125,173027.954545455,221560.830188679,172684.902439024,162292.727272727,223088.608695652,228265.575757576,176288.865384615,173287.595744681,399216.285714286,399216.285714286
ENSG00000165675,64942.5,51988.4090909091,70763.5660377358,62651.1829268293,30821,70607.3043478261,92198.7878787879,72287.2884615385,69441.2553191489,85255.8571428571,92198.7878787879
ENSG00000101017,38354.375,24583.0909090909,33739.5094339623,43927.9756097561,91890.7727272727,31434.6956521739,56769.696969697,43820.3269230769,39225.0425531915,43595.6428571429,91890.7727272727
ENSG000001010171,38354.375,24583.0909090909,33739.5094339623,43927.9756097561,91890.7727272727,31434.6956521739,56769.696969697,43820.3269230769,39225.0425531915,43595.6428571429,91890.7727272727
ENSG00000067182,156195.25,89189.7727272727,133466.566037736,166642.207317073,56715.4545454545,148955.217391304,169129.666666667,145888.173076923,111428.29787234,166166.071428571,169129.666666667
ENSG00000204217,436433.5,622893.727272727,978772.150943396,419282.146341463,282106.954545455,351845.173913043,626051.787878788,515454.903846154,375801.212765957,316732.428571429,978772.150943396
ENSG000002042171,436433.5,622893.727272727,978772.150943396,419282.146341463,282106.954545455,351845.173913043,626051.787878788,515454.903846154,375801.212765957,316732.428571429,978772.150943396
ENSG000002042172,436433.5,622893.727272727,978772.150943396,419282.146341463,282106.954545455,351845.173913043,626051.787878788,515454.903846154,375801.212765957,316732.428571429,978772.150943396
ENSG00000026103,12807.75,7888.18181818182,15245.5471698113,19039.3414634146,3445.68181818182,9811.69565217391,11275.7575757576,14555.2692307692,10894.4680851064,6405.92857142857,19039.3414634146
ENSG00000117560,328.25,194.636363636364,316.037735849057,1201.28048780488,176.136363636364,325.173913043478,865.212121212121,538.692307692308,612.765957446809,692.714285714286,1201.28048780488
ENSG00000147065,486543,328322.227272727,465981.358490566,629964.865853659,208267.909090909,542002.130434783,717411.727272727,564805.326923077,481347.14893617,657000.285714286,717411.727272727
ENSG000000671821,156195.25,89189.7727272727,133466.566037736,166642.207317073,56715.4545454545,148955.217391304,169129.666666667,145888.173076923,111428.29787234,166166.071428571,169129.666666667
ENSG000000261031,12807.75,7888.18181818182,15245.5471698113,19039.3414634146,3445.68181818182,9811.69565217391,11275.7575757576,14555.2692307692,10894.4680851064,6405.92857142857,19039.3414634146
ENSG000001470651,486543,328322.227272727,465981.358490566,629964.865853659,208267.909090909,542002.130434783,717411.727272727,564805.326923077,481347.14893617,657000.285714286,717411.727272727
ENSG000000261032,12807.75,7888.18181818182,15245.5471698113,19039.3414634146,3445.68181818182,9811.69565217391,11275.7575757576,14555.2692307692,10894.4680851064,6405.92857142857,19039.3414634146
ENSG000000261033,12807.75,7888.18181818182,15245.5471698113,19039.3414634146,3445.68181818182,9811.69565217391,11275.7575757576,14555.2692307692,10894.4680851064,6405.92857142857,19039.3414634146
ENSG000001175601,328.25,194.636363636364,316.037735849057,1201.28048780488,176.136363636364,325.173913043478,865.212121212121,538.692307692308,612.765957446809,692.714285714286,1201.28048780488
ENSG000001470652,486543,328322.227272727,465981.358490566,629964.865853659,208267.909090909,542002.130434783,717411.727272727,564805.326923077,481347.14893617,657000.285714286,717411.727272727
ENSG00000107779,24955.5,17284.8181818182,29061.4905660377,26844.3170731707,37566.1363636364,20471.2608695652,30183.5151515152,26552.3076923077,19003.2978723404,18843.1428571429,37566.1363636364
ENSG000002042173,436433.5,622893.727272727,978772.150943396,419282.146341463,282106.954545455,351845.173913043,626051.787878788,515454.903846154,375801.212765957,316732.428571429,978772.150943396
ENSG00000125845,20792.875,19035.2727272727,26051.6603773585,22988.1829268293,6380.95454545455,21705.5652173913,29520.7272727273,17859.6153846154,16647.4042553192,21206.2142857143,29520.7272727273
ENSG000001077791,24955.5,17284.8181818182,29061.4905660377,26844.3170731707,37566.1363636364,20471.2608695652,30183.5151515152,26552.3076923077,19003.2978723404,18843.1428571429,37566.1363636364
ENSG00000150093,260148.125,153867.045454545,243523.698113208,258889.317073171,96067.9545454545,267138.739130435,337228.878787879,220647.634615385,245840.255319149,424538,424538
ENSG00000168140,78386,76338.2272727273,111536.169811321,96807.2073170732,22740.3636363636,66983.9565217391,68386.303030303,67351.0961538462,71149.0425531915,50924.7142857143,111536.169811321
