,amygdala,BA24,BA9,caudate,cerebellum,hippocampus,hypothalamus,nucleus_accumbens,putamen,substantia_nigra,max
ENSG00000120885,4107198.625,4269643.27272727,6148581.37735849,5762080.1097561,2955051.13636364,4089019.82608696,4682496.3030303,5392554.01923077,4537316.89361702,4064411.28571429,6148581.37735849
ENSG00000163513,145870.125,83225.9545454545,129138.79245283,140036.146341463,39611.0454545455,123924.173913043,155266.212121212,100854.576923077,128151.638297872,198907.857142857,198907.857142857
ENSG000001635131,145870.125,83225.9545454545,129138.79245283,140036.146341463,39611.0454545455,123924.173913043,155266.212121212,100854.576923077,128151.638297872,198907.857142857,198907.857142857
ENSG00000106799,71058.875,30274.6363636364,58909.3396226415,47262.0243902439,120828.090909091,48477.8695652174,89056.1818181818,38909.4423076923,34633.5744680851,89531.5714285714,120828.090909091
ENSG00000204217,436433.5,622893.727272727,978772.150943396,419282.146341463,282106.954545455,351845.173913043,626051.787878788,515454.903846154,375801.212765957,316732.428571429,978772.150943396
ENSG00000117533,21452.25,26614.7272727273,42148.3773584906,22093.4268292683,31749.1818181818,20726.3043478261,34386,26074.3653846154,19839.3829787234,24343.5714285714,42148.3773584906
ENSG00000049245,42695.25,29158.7727272727,44507.5471698113,39325.4146341463,35688.8636363636,46430.2173913043,49711.1818181818,38828.0192307692,39231.5106382979,77647.3571428571,77647.3571428571
ENSG00000120658,55631.625,73401.6818181818,96252.7735849057,58532.7926829268,13776.5454545455,61554.3043478261,70030.5454545455,73762.9230769231,57954.1276595745,68356.6428571429,96252.7735849057
ENSG00000179218,649676.75,676064.863636364,986777.41509434,814739.487804878,445077.318181818,732699,1101799.09090909,879936.846153846,670523.808510638,812858.428571429,1101799.09090909
ENSG00000023318,56795.125,54539,85464.6037735849,60639.1585365854,40148.7727272727,58673,97672.3333333333,62344.5769230769,49195.0638297872,70638.2857142857,97672.3333333333
ENSG00000232810,3,3.13636363636364,6.28301886792453,4.52439024390244,31.9545454545455,6.47826086956522,14.4242424242424,7.67307692307692,1.78723404255319,1.71428571428571,31.9545454545455
ENSG00000109846,301762,135244.363636364,214764.056603774,309751.109756098,430426.136363636,526100.217391304,366976.818181818,236035.788461538,291734.085106383,1053329.21428571,1053329.21428571
ENSG000001067991,71058.875,30274.6363636364,58909.3396226415,47262.0243902439,120828.090909091,48477.8695652174,89056.1818181818,38909.4423076923,34633.5744680851,89531.5714285714,120828.090909091
ENSG00000135503,212296.125,396064.454545455,671394.452830189,235960.597560976,276203.909090909,216845.869565217,301597.424242424,241296.711538462,227566.361702128,152224.785714286,671394.452830189
ENSG00000120889,15871.25,15177.9545454545,24626.5849056604,25388.0975609756,9837.77272727273,22758.7826086957,26533.4242424242,19932.9615384615,16602.9574468085,16865.5714285714,26533.4242424242
ENSG000001208891,15871.25,15177.9545454545,24626.5849056604,25388.0975609756,9837.77272727273,22758.7826086957,26533.4242424242,19932.9615384615,16602.9574468085,16865.5714285714,26533.4242424242
ENSG000001208892,15871.25,15177.9545454545,24626.5849056604,25388.0975609756,9837.77272727273,22758.7826086957,26533.4242424242,19932.9615384615,16602.9574468085,16865.5714285714,26533.4242424242
ENSG000001208893,15871.25,15177.9545454545,24626.5849056604,25388.0975609756,9837.77272727273,22758.7826086957,26533.4242424242,19932.9615384615,16602.9574468085,16865.5714285714,26533.4242424242
ENSG00000117560,328.25,194.636363636364,316.037735849057,1201.28048780488,176.136363636364,325.173913043478,865.212121212121,538.692307692308,612.765957446809,692.714285714286,1201.28048780488
ENSG000001175601,328.25,194.636363636364,316.037735849057,1201.28048780488,176.136363636364,325.173913043478,865.212121212121,538.692307692308,612.765957446809,692.714285714286,1201.28048780488
ENSG00000147065,486543,328322.227272727,465981.358490566,629964.865853659,208267.909090909,542002.130434783,717411.727272727,564805.326923077,481347.14893617,657000.285714286,717411.727272727
ENSG00000067182,156195.25,89189.7727272727,133466.566037736,166642.207317073,56715.4545454545,148955.217391304,169129.666666667,145888.173076923,111428.29787234,166166.071428571,169129.666666667
ENSG000000671821,156195.25,89189.7727272727,133466.566037736,166642.207317073,56715.4545454545,148955.217391304,169129.666666667,145888.173076923,111428.29787234,166166.071428571,169129.666666667
ENSG000000671822,156195.25,89189.7727272727,133466.566037736,166642.207317073,56715.4545454545,148955.217391304,169129.666666667,145888.173076923,111428.29787234,166166.071428571,169129.666666667
ENSG00000125845,20792.875,19035.2727272727,26051.6603773585,22988.1829268293,6380.95454545455,21705.5652173913,29520.7272727273,17859.6153846154,16647.4042553192,21206.2142857143,29520.7272727273
ENSG00000107779,24955.5,17284.8181818182,29061.4905660377,26844.3170731707,37566.1363636364,20471.2608695652,30183.5151515152,26552.3076923077,19003.2978723404,18843.1428571429,37566.1363636364
ENSG000002042171,436433.5,622893.727272727,978772.150943396,419282.146341463,282106.954545455,351845.173913043,626051.787878788,515454.903846154,375801.212765957,316732.428571429,978772.150943396
ENSG000002042172,436433.5,622893.727272727,978772.150943396,419282.146341463,282106.954545455,351845.173913043,626051.787878788,515454.903846154,375801.212765957,316732.428571429,978772.150943396
ENSG00000005884,68416.125,120097.090909091,162513.528301887,84950.5,287549.409090909,69390.7391304348,196186.727272727,109853,67839,52394.5714285714,287549.409090909
ENSG00000119699,159500.125,60905.9090909091,81027.5849056604,92342.7073170732,37379.3636363636,175948.869565217,104729.666666667,87523.0192307692,113526.574468085,339674.928571429,339674.928571429
ENSG00000146648,51894.25,43622.8636363636,58960.679245283,77619.2804878049,29515.5454545455,34386.3043478261,43485.0909090909,79330.7307692308,63249.1489361702,36437.7142857143,79330.7307692308
ENSG00000182718,20015.5,12149.9090909091,28360.0754716981,34698.4878048781,11464.3636363636,34267.5652173913,58016.4545454545,27065.8269230769,16696.6170212766,28257.2142857143,58016.4545454545
ENSG00000174469,593864.875,806528.954545455,1530173.11320755,275255.329268293,125250.272727273,346820.086956522,627171.939393939,363541.269230769,312794.042553191,449596.571428571,1530173.11320755
ENSG00000184144,25223.125,10119.5454545455,14744.3396226415,16602.0731707317,14334.0454545455,32273.9565217391,21512.5454545455,10483.7884615385,19598.6595744681,64672.4285714286,64672.4285714286
ENSG00000180871,3354.375,3959.95454545455,4015.83018867925,2951.14634146341,2094.95454545455,2864.47826086957,4132.45454545455,2381.90384615385,2978.02127659574,3751.71428571429,4132.45454545455
ENSG000000671823,156195.25,89189.7727272727,133466.566037736,166642.207317073,56715.4545454545,148955.217391304,169129.666666667,145888.173076923,111428.29787234,166166.071428571,169129.666666667
ENSG00000026103,12807.75,7888.18181818182,15245.5471698113,19039.3414634146,3445.68181818182,9811.69565217391,11275.7575757576,14555.2692307692,10894.4680851064,6405.92857142857,19039.3414634146
ENSG00000103496,190103.125,173027.954545455,221560.830188679,172684.902439024,162292.727272727,223088.608695652,228265.575757576,176288.865384615,173287.595744681,399216.285714286,399216.285714286
ENSG000000492451,42695.25,29158.7727272727,44507.5471698113,39325.4146341463,35688.8636363636,46430.2173913043,49711.1818181818,38828.0192307692,39231.5106382979,77647.3571428571,77647.3571428571
ENSG00000129159,46088.125,158266.454545455,253477.528301887,48323.5243902439,640491.454545455,47809.8695652174,102488.333333333,58998.9423076923,48456.170212766,50070.9285714286,640491.454545455
ENSG00000082781,168590.125,112840.909090909,141761.358490566,222987.914634146,91587.7727272727,179866.695652174,186549.090909091,181148.038461538,198098.170212766,244106.714285714,244106.714285714
ENSG00000164111,315186.5,196834.409090909,296670.283018868,340563.670731707,125326.545454545,325623.695652174,457077.696969697,315404.980769231,272394.14893617,511758.571428571,511758.571428571
ENSG000001635132,145870.125,83225.9545454545,129138.79245283,140036.146341463,39611.0454545455,123924.173913043,155266.212121212,100854.576923077,128151.638297872,198907.857142857,198907.857142857
ENSG000001466481,51894.25,43622.8636363636,58960.679245283,77619.2804878049,29515.5454545455,34386.3043478261,43485.0909090909,79330.7307692308,63249.1489361702,36437.7142857143,79330.7307692308
ENSG000001827181,20015.5,12149.9090909091,28360.0754716981,34698.4878048781,11464.3636363636,34267.5652173913,58016.4545454545,27065.8269230769,16696.6170212766,28257.2142857143,58016.4545454545
