GeneA,GeneB,min
ENSG00000120885,ENSG00000120885,6148581.37735849
ENSG000001208851,ENSG00000163513,6148581.37735849
ENSG00000106799,ENSG000001635131,198907.857142857
ENSG000001067991,ENSG00000106799,120828.090909091
ENSG000001067992,ENSG00000204217,978772.150943396
ENSG00000103496,ENSG00000117533,399216.285714286
ENSG000001034961,ENSG00000049245,399216.285714286
ENSG00000165675,ENSG00000120658,96252.7735849057
ENSG00000101017,ENSG00000179218,1101799.09090909
ENSG000001010171,ENSG00000023318,97672.3333333333
ENSG00000067182,ENSG00000232810,169129.666666667
ENSG00000204217,ENSG00000109846,1053329.21428571
ENSG000002042171,ENSG000001067991,978772.150943396
ENSG000002042172,ENSG00000135503,978772.150943396
ENSG00000026103,ENSG00000120889,26533.4242424242
ENSG00000117560,ENSG000001208891,26533.4242424242
ENSG00000147065,ENSG000001208892,717411.727272727
ENSG000000671821,ENSG000001208893,169129.666666667
ENSG000000261031,ENSG00000117560,19039.3414634146
ENSG000001470651,ENSG000001175601,717411.727272727
ENSG000000261032,ENSG00000147065,717411.727272727
ENSG000000261033,ENSG00000067182,169129.666666667
ENSG000001175601,ENSG000000671821,169129.666666667
ENSG000001470652,ENSG000000671822,717411.727272727
ENSG00000107779,ENSG00000125845,37566.1363636364
ENSG000002042173,ENSG00000107779,978772.150943396
ENSG00000125845,ENSG000002042171,978772.150943396
ENSG000001077791,ENSG000002042172,978772.150943396
ENSG00000150093,ENSG00000005884,424538
ENSG00000168140,ENSG00000119699,339674.928571429
ENSG00000146648,ENSG00000146648,79330.7307692308
ENSG00000079385,ENSG00000182718,58016.4545454545
ENSG00000184144,ENSG00000174469,1530173.11320755
ENSG00000174469,ENSG00000184144,1530173.11320755
ENSG00000180871,ENSG00000180871,4132.45454545455
ENSG00000232810,ENSG000000671823,169129.666666667
ENSG000001175602,ENSG00000026103,19039.3414634146
ENSG00000124333,ENSG00000103496,399216.285714286
ENSG000001034962,ENSG000000492451,399216.285714286
ENSG00000151150,ENSG00000129159,2549572.59090909
ENSG00000164111,ENSG00000082781,511758.571428571
ENSG00000082781,ENSG00000164111,511758.571428571
ENSG00000119699,ENSG000001635132,339674.928571429
ENSG00000113070,ENSG000001466481,109184.285714286
ENSG00000167085,ENSG000001827181,268440.924528302
ENSG00000196576,ENSG00000105894,1699229.95454545
ENSG00000185624,ENSG000001058941,1014454.77358491
ENSG00000163599,ENSG00000121594,14797.5151515152
ENSG00000178562,ENSG000001215941,14797.5151515152
ENSG00000010704,ENSG00000072274,185744
ENSG00000072274,ENSG00000010704,185744
ENSG000000793851,ENSG00000124469,4253.27272727273
ENSG000000261034,ENSG000001175602,19039.3414634146
ENSG00000157404,ENSG00000010278,352043.652173913
ENSG000001574041,ENSG00000135404,352043.652173913
ENSG00000010278,ENSG00000157404,352043.652173913
ENSG00000135404,ENSG000001574041,352043.652173913
ENSG00000134853,ENSG00000197461,385376.75
ENSG000001348531,ENSG00000100311,385376.75
ENSG00000049249,ENSG00000049249,1824.06060606061
ENSG000001354041,ENSG000000102781,320306.285714286
ENSG000000102781,ENSG00000150093,424538
ENSG000000261035,ENSG000000261031,19039.3414634146
ENSG00000112715,ENSG00000112715,470865.211538462
ENSG00000163513,ENSG000001196991,339674.928571429
ENSG00000006210,ENSG00000168329,1076494.71698113
ENSG00000153563,ENSG00000153563,32830.6153846154
ENSG00000137440,ENSG00000137440,179.056603773585
ENSG00000066468,ENSG00000066468,1238483.42857143
ENSG00000166862,ENSG00000155511,1192782.73913043
ENSG000001668621,ENSG00000120251,3358344.22641509
ENSG000001668622,ENSG00000176884,618543.754716981
ENSG000001348532,ENSG00000145431,385376.75
ENSG00000011422,ENSG00000078098,45448.8780487805
ENSG00000155511,ENSG000001202511,3358344.22641509
ENSG00000121966,ENSG00000160791,13656.3571428571
ENSG00000259207,ENSG00000138448,117133.5
ENSG000001470653,ENSG000001470651,717411.727272727
ENSG00000180210,ENSG00000171560,7437
ENSG00000080709,ENSG00000080709,76917.3913043478
ENSG00000019582,ENSG00000019582,2000263.5
ENSG00000196689,ENSG00000196689,11555.7272727273
ENSG00000135218,ENSG00000130164,108401.242424242
ENSG000001466481,ENSG00000109321,79330.7307692308
ENSG00000005884,ENSG000000102782,320306.285714286
ENSG00000179218,ENSG00000104368,1101799.09090909
ENSG00000165471,ENSG000001792181,1101799.09090909
ENSG00000104972,ENSG00000204642,125371.519230769
ENSG00000131042,ENSG000002046421,125371.519230769
ENSG000001500931,ENSG00000077943,424538
ENSG000001792181,ENSG00000167004,1101799.09090909
ENSG00000167004,ENSG000001792182,1101799.09090909
ENSG000000102782,ENSG00000117335,320306.285714286
ENSG00000177697,ENSG000001173351,175772.471698113
ENSG00000117335,ENSG000000102783,320306.285714286
ENSG000001173351,ENSG00000177697,175772.471698113
ENSG000001173352,ENSG000001500931,424538
ENSG000001500932,ENSG000001173352,424538
ENSG000001348533,ENSG00000113721,454368.075471698
ENSG000001348534,ENSG00000134853,385376.75
ENSG00000113721,ENSG000001137211,454368.075471698
ENSG00000137673,ENSG000001175603,1201.28048780488
ENSG000001635131,ENSG00000106991,198907.857142857
ENSG000001067993,ENSG000001069911,120828.090909091
ENSG00000106991,ENSG000001067992,120828.090909091
ENSG000001069911,ENSG000001635133,198907.857142857
ENSG00000004468,ENSG00000203747,44784.4024390244
ENSG00000074800,ENSG00000122194,1308062.94230769
ENSG00000133107,ENSG00000133107,38461.9393939394
ENSG00000162989,ENSG00000120457,652794.245283019
ENSG00000099250,ENSG000001127151,470865.211538462
ENSG00000129159,ENSG00000143473,640491.454545455
ENSG00000100097,ENSG00000131981,529257.071428571
ENSG00000116824,ENSG00000081237,41397.4242424242
ENSG00000104687,ENSG00000104687,315883.754716981
ENSG00000005961,ENSG00000180210,79399.3636363636
ENSG00000182718,ENSG000001043681,58016.4545454545
ENSG00000197561,ENSG00000167711,4342.64285714286
ENSG00000171564,ENSG000001792183,1101799.09090909
ENSG000001034963,ENSG000000492452,399216.285714286
ENSG000000114221,ENSG00000169896,104916.571428571
ENSG00000204592,ENSG00000166710,303454.939393939
ENSG000001792182,ENSG00000142192,7812131.26415094
ENSG000001376731,ENSG00000113070,109184.285714286
ENSG000001376732,ENSG00000026508,100532.463414634
ENSG000000058841,ENSG000000102784,320306.285714286
ENSG00000161638,ENSG000000102785,320306.285714286
ENSG00000164690,ENSG00000164690,2111.67307692308
ENSG00000125084,ENSG00000104332,29444.0909090909
ENSG00000105989,ENSG000001043321,29444.0909090909
ENSG00000164930,ENSG000001043322,29444.0909090909
ENSG00000104332,ENSG00000164930,29444.0909090909
ENSG00000118137,ENSG00000165029,222719.057692308
ENSG00000165029,ENSG00000118137,222719.057692308
ENSG00000197442,ENSG00000197442,466820.038461538
ENSG00000113140,ENSG000001127152,12599446.6060606
ENSG000001127151,ENSG000001127153,470865.211538462
ENSG00000026508,ENSG000001067993,120828.090909091
ENSG000001635132,ENSG000001069912,198907.857142857
