Ensembl_GeneID_A,Ensembl_GeneID_B,GeneA,GeneB,min
ENSG00000120885,ENSG00000120885,CLU,CLU,7.59887866911885
ENSG00000120885,ENSG00000163513,CLU,TGFBR2,1275.40858424839
ENSG00000106799,ENSG00000163513,TGFBR1,TGFBR2,1275.40858424839
ENSG00000103496,ENSG00000117533,STX4,VAMP4,405.232240789712
ENSG00000103496,ENSG00000049245,STX4,VAMP3,1278.36815906818
ENSG00000165675,ENSG00000120658,ENOX2,ENOX1,23.4543481419558
ENSG00000122861,ENSG00000135919,PLAU,SERPINE2,51.5776460580735
ENSG00000101017,ENSG00000179218,CD40,CALR,494.604099960419
ENSG00000101017,ENSG00000023318,CD40,ERP44,288.949804461962
ENSG00000157873,ENSG00000185624,TNFRSF14,P4HB,142.194826619667
ENSG00000234745,ENSG00000147065,HLA-B,MSN,3448.07114909448
ENSG00000067182,ENSG00000232810,TNFRSF1A,TNF,2605.92276149647
ENSG00000204217,ENSG00000109846,BMPR2,CRYAB,43.0163664434308
ENSG00000039068,ENSG00000105976,CDH1,MET,2.66361567757863
ENSG00000204217,ENSG00000106799,BMPR2,TGFBR1,431.330687550295
ENSG00000204217,ENSG00000135503,BMPR2,ACVR1B,83.4426553986619
ENSG00000026103,ENSG00000120889,FAS,TNFRSF10B,153.469545291856
ENSG00000117560,ENSG00000120889,FASLG,TNFRSF10B,329.300724753751
ENSG00000147065,ENSG00000120889,MSN,TNFRSF10B,1669.86052499362
ENSG00000067182,ENSG00000120889,TNFRSF1A,TNFRSF10B,123.350684689683
ENSG00000026103,ENSG00000117560,FAS,FASLG,329.300724753751
ENSG00000147065,ENSG00000117560,MSN,FASLG,1669.86052499362
ENSG00000026103,ENSG00000147065,FAS,MSN,1669.86052499362
ENSG00000026103,ENSG00000067182,FAS,TNFRSF1A,153.469545291856
ENSG00000117560,ENSG00000067182,FASLG,TNFRSF1A,329.300724753751
ENSG00000147065,ENSG00000067182,MSN,TNFRSF1A,1669.86052499362
ENSG00000039068,ENSG00000083457,CDH1,ITGAE,9.88001635323481
ENSG00000107779,ENSG00000125845,BMPR1A,BMP2,22.1293538621837
ENSG00000039068,ENSG00000039068,CDH1,CDH1,2.66361567757863
ENSG00000039068,ENSG00000039068,CDH1,CDH1,2.66361567757863
ENSG00000062038,ENSG00000039068,CDH3,CDH1,2.66361567757863
ENSG00000039068,ENSG00000062038,CDH1,CDH3,2.66361567757863
ENSG00000204217,ENSG00000107779,BMPR2,BMPR1A,43.0163664434308
ENSG00000125845,ENSG00000204217,BMP2,BMPR2,43.0163664434308
ENSG00000107779,ENSG00000204217,BMPR1A,BMPR2,43.0163664434308
ENSG00000039068,ENSG00000062038,CDH1,CDH3,2.66361567757863
ENSG00000062038,ENSG00000062038,CDH3,CDH3,0.336554082282911
ENSG00000062038,ENSG00000062038,CDH3,CDH3,0.336554082282911
ENSG00000105976,ENSG00000039068,MET,CDH1,2.66361567757863
ENSG00000160255,ENSG00000011422,ITGB2,PLAUR,694.215778739886
ENSG00000150093,ENSG00000005884,ITGB1,ITGA3,420.852221385808
ENSG00000168140,ENSG00000105329,VASN,TGFB1,581.335376313324
ENSG00000168140,ENSG00000119699,VASN,TGFB3,8.1851268520399
ENSG00000171603,ENSG00000142192,CLSTN1,APP,155.878572829202
ENSG00000171603,ENSG00000080815,CLSTN1,PSEN1,233.67425164661
ENSG00000170558,ENSG00000140937,CDH2,CDH11,0.273920256594574
ENSG00000140937,ENSG00000170558,CDH11,CDH2,0.273920256594574
ENSG00000196581,ENSG00000039068,AJAP1,CDH1,27.7900643593254
ENSG00000146648,ENSG00000146648,EGFR,EGFR,0.00615328664339615
ENSG00000179915,ENSG00000169760,NRXN1,NLGN1,0.00975849564110096
ENSG00000079385,ENSG00000182718,CEACAM1,ANXA2,133.816731219863
ENSG00000079385,ENSG00000182718,CEACAM1,ANXA2,133.816731219863
ENSG00000184144,ENSG00000174469,CNTN2,CNTNAP2,28.2205832305986
ENSG00000174469,ENSG00000184144,CNTNAP2,CNTN2,28.2205832305986
ENSG00000142192,ENSG00000171603,APP,CLSTN1,155.878572829202
ENSG00000091972,ENSG00000163606,CD200,CD200R1,1423.46778877446
ENSG00000150637,ENSG00000073008,CD226,PVR,390.122868827333
ENSG00000150637,ENSG00000130202,CD226,PVRL2,390.122868827333
ENSG00000104972,ENSG00000206503,LILRB1,HLA-A,1938.14967895692
ENSG00000188389,ENSG00000197646,PDCD1,PDCD1LG2,41.2336577637904
ENSG00000180871,ENSG00000180871,CXCR2,CXCR2,28.3541433122648
ENSG00000232810,ENSG00000067182,TNF,TNFRSF1A,2605.92276149647
ENSG00000117560,ENSG00000026103,FASLG,FAS,329.300724753751
ENSG00000105369,ENSG00000007312,CD79A,CD79B,1446.48568962283
ENSG00000204632,ENSG00000204632,HLA-G,HLA-G,108.1777948282
ENSG00000131042,ENSG00000234745,LILRB2,HLA-B,3448.07114909448
ENSG00000131042,ENSG00000204525,LILRB2,HLA-C,1512.17523217567
ENSG00000131042,ENSG00000204632,LILRB2,HLA-G,615.464125538676
ENSG00000104972,ENSG00000234745,LILRB1,HLA-B,3448.07114909448
ENSG00000104972,ENSG00000204525,LILRB1,HLA-C,1512.17523217567
ENSG00000104972,ENSG00000204632,LILRB1,HLA-G,184.591150502309
ENSG00000124333,ENSG00000103496,VAMP7,STX4,60.0363643217695
ENSG00000103496,ENSG00000049245,STX4,VAMP3,1278.36815906818
ENSG00000151150,ENSG00000129159,ANK3,KCNC1,10.8491517379543
ENSG00000204525,ENSG00000204525,HLA-C,HLA-C,1512.17523217567
ENSG00000186810,ENSG00000169245,CXCR3,CXCL10,149.572849751356
ENSG00000186810,ENSG00000138755,CXCR3,CXCL9,64.3041485222808
ENSG00000019582,ENSG00000240972,CD74,MIF,8515.41147023415
ENSG00000019582,ENSG00000240972,CD74,MIF,8515.41147023415
ENSG00000164111,ENSG00000082781,ANXA5,ITGB5,580.301374855105
ENSG00000082781,ENSG00000164111,ITGB5,ANXA5,580.301374855105
ENSG00000119699,ENSG00000163513,TGFB3,TGFBR2,1275.40858424839
ENSG00000113070,ENSG00000146648,HBEGF,EGFR,763.293116507019
ENSG00000134352,ENSG00000122756,IL6ST,CNTFR,1039.32409623686
ENSG00000113594,ENSG00000122756,LIFR,CNTFR,0.200555918190231
ENSG00000122756,ENSG00000113594,CNTFR,LIFR,0.200555918190231
ENSG00000122756,ENSG00000134352,CNTFR,IL6ST,1039.32409623686
ENSG00000167085,ENSG00000182718,PHB,ANXA2,133.816731219863
ENSG00000167085,ENSG00000182718,PHB,ANXA2,133.816731219863
ENSG00000167085,ENSG00000182718,PHB,ANXA2,133.816731219863
ENSG00000148400,ENSG00000074181,NOTCH1,NOTCH3,68.4117510383562
ENSG00000196576,ENSG00000105894,PLXNB2,PTN,158.373912263081
ENSG00000173535,ENSG00000118137,TNFRSF10C,APOA1,9.27870970339952
ENSG00000040731,ENSG00000105894,CDH10,PTN,0.289495271040788
ENSG00000080824,ENSG00000080824,HSP90AA1,HSP90AA1,1057.78675235883
ENSG00000185624,ENSG00000105894,P4HB,PTN,142.194826619667
ENSG00000163599,ENSG00000121594,CTLA4,CD80,1810.58632149317
ENSG00000178562,ENSG00000121594,CD28,CD80,1461.24297389913
ENSG00000010704,ENSG00000072274,HFE,TFRC,549.688703714745
ENSG00000072274,ENSG00000010704,TFRC,HFE,549.688703714745
ENSG00000079385,ENSG00000124469,CEACAM1,CEACAM8,11.3544393035844
ENSG00000026103,ENSG00000117560,FAS,FASLG,329.300724753751
ENSG00000157404,ENSG00000010278,KIT,CD9,11.1165706006813
ENSG00000157404,ENSG00000135404,KIT,CD63,554.176917244462
ENSG00000010278,ENSG00000157404,CD9,KIT,11.1165706006813
ENSG00000135404,ENSG00000157404,CD63,KIT,554.176917244462
ENSG00000134853,ENSG00000197461,PDGFRA,PDGFA,10.1232964730317
ENSG00000134853,ENSG00000100311,PDGFRA,PDGFB,33.1956420218238
ENSG00000049249,ENSG00000049249,TNFRSF9,TNFRSF9,1146.21886531777
ENSG00000168003,ENSG00000103257,SLC3A2,SLC7A5,2156.28565577086
ENSG00000135404,ENSG00000010278,CD63,CD9,554.176917244462
ENSG00000010278,ENSG00000150093,CD9,ITGB1,420.852221385808
ENSG00000026103,ENSG00000026103,FAS,FAS,153.469545291856
ENSG00000112715,ENSG00000112715,VEGFA,VEGFA,64.1320218560151
ENSG00000163513,ENSG00000119699,TGFBR2,TGFB3,1275.40858424839
ENSG00000006210,ENSG00000168329,CX3CL1,CX3CR1,655.188847426543
ENSG00000153563,ENSG00000172116,CD8A,CD8B,1682.84367919433
ENSG00000153563,ENSG00000153563,CD8A,CD8A,1682.84367919433
ENSG00000137440,ENSG00000137440,FGFBP1,FGFBP1,1.45895737373082
ENSG00000066468,ENSG00000066468,FGFR2,FGFR2,3.62918516380426
ENSG00000166862,ENSG00000155511,CACNG2,GRIA1,0.0025134206360875
ENSG00000166862,ENSG00000120251,CACNG2,GRIA2,0.00203147862645098
ENSG00000166862,ENSG00000176884,CACNG2,GRIN1,0.0294706186077
ENSG00000134853,ENSG00000145431,PDGFRA,PDGFC,22.2426500719142
ENSG00000134853,ENSG00000145431,PDGFRA,PDGFC,22.2426500719142
ENSG00000186810,ENSG00000138755,CXCR3,CXCL9,64.3041485222808
ENSG00000011422,ENSG00000078098,PLAUR,FAP,554.246407890632
ENSG00000155511,ENSG00000120251,GRIA1,GRIA2,0.0025134206360875
ENSG00000121966,ENSG00000160791,CXCR4,CCR5,2957.75477350774
ENSG00000259207,ENSG00000138448,ITGB3,ITGAV,20.9943122354926
ENSG00000206503,ENSG00000153563,HLA-A,CD8A,1938.14967895692
ENSG00000147065,ENSG00000147065,MSN,MSN,1669.86052499362
ENSG00000180210,ENSG00000171560,F2,FGA,0.151452645499537
ENSG00000080709,ENSG00000080709,KCNN2,KCNN2,0.00701244040941415
ENSG00000130202,ENSG00000130202,PVRL2,PVRL2,12.4070172871333
ENSG00000019582,ENSG00000019582,CD74,CD74,8515.41147023415
ENSG00000196689,ENSG00000196689,TRPV1,TRPV1,0.196103141858794
ENSG00000135218,ENSG00000130164,CD36,LDLR,182.705209677448
ENSG00000146648,ENSG00000109321,EGFR,AREG,2.91577006021307
ENSG00000005884,ENSG00000010278,ITGA3,CD9,11.1165706006813
ENSG00000179218,ENSG00000104368,CALR,PLAT,494.604099960419
ENSG00000165471,ENSG00000179218,MBL2,CALR,494.604099960419
ENSG00000104972,ENSG00000204642,LILRB1,HLA-F,184.591150502309
ENSG00000131042,ENSG00000204642,LILRB2,HLA-F,615.464125538676
ENSG00000206503,ENSG00000153563,HLA-A,CD8A,1938.14967895692
