Gene / Product (bioentity),Gene / Product (bioentity_label),Gene / Product (bioentity_name),Synonyms,Organism (taxon_label),Type,Source,PANTHER family (panther_family_label),PANTHER family (panther_family),Direct annotation (annotation_class_list_label),Direct annotation (annotation_class_list),Inferred annotation (annotation_class_list_label),Inferred annotation (annotation_class_list)
UniProtKB:Q92887,ABCC2,Canalicular multispecific organic anion transporter 1,CMOAT|CMOAT1|CMRP|MRP2,Homo sapiens,protein,UniProtKB,family not named pthr24223,PANTHER:PTHR24223,benzylpenicillin metabolic process|response to estrogen|mercury ion transport|intercellular canaliculus|ATP binding|integral component of plasma membrane|response to oxidative stress|drug transmembrane transport|response to heat|cellular response to interleukin-6|response to arsenic-containing substance|cellular response to tumor necrosis factor|bilirubin transport|canalicular bile acid transport|cellular chloride ion homeostasis|bilirubin transmembrane transporter activity|thyroid hormone transport|protein domain specific binding|transmembrane transport|female pregnancy|organic anion transmembrane transporter activity|plasma membrane|cell surface|protein binding|response to methotrexate|brush border membrane|cellular response to lipopolysaccharide|cellular response to interleukin-1|response to glucagon|cellular response to dexamethasone stimulus|apical plasma membrane|prostaglandin transport,GO:1901086|GO:0043627|GO:0015694|GO:0046581|GO:0005524|GO:0005887|GO:0006979|GO:0006855|GO:0009408|GO:0071354|GO:0046685|GO:0071356|GO:0015723|GO:0015722|GO:0030644|GO:0015127|GO:0070327|GO:0019904|GO:0055085|GO:0007565|GO:0008514|GO:0005886|GO:0009986|GO:0005515|GO:0031427|GO:0031526|GO:0071222|GO:0071347|GO:0033762|GO:0071549|GO:0016324|GO:0015732,,
UniProtKB:Q92614,MYO18A,Unconventional myosin-XVIIIa,CD245|KIAA0216|MYSPDZ,Homo sapiens,protein,UniProtKB,family not named pthr45615,PANTHER:PTHR45615,myosin complex|actomyosin structure organization|Golgi organization|asymmetric Golgi ribbon formation|Golgi membrane|endoplasmic reticulum-Golgi intermediate compartment|actomyosin|ADP binding|positive regulation of opsonization|DNA metabolic process|Golgi ribbon formation|cell surface|actin filament binding|DNA binding|ATP binding|trans-Golgi network|RNA binding|protein binding|regulation of macrophage activation|negative regulation of apoptotic process|membrane|positive regulation of protein secretion|cell migration|Golgi vesicle budding,GO:0016459|GO:0031032|GO:0007030|GO:0090164|GO:0000139|GO:0005793|GO:0042641|GO:0043531|GO:1903028|GO:0006259|GO:0090161|GO:0009986|GO:0051015|GO:0003677|GO:0005524|GO:0005802|GO:0003723|GO:0005515|GO:0043030|GO:0043066|GO:0016020|GO:0050714|GO:0016477|GO:0048194,,
UniProtKB:P40238,MPL,Thrombopoietin receptor,TPOR,Homo sapiens,protein,UniProtKB,cytokine receptor pthr23037,PANTHER:PTHR23037,positive regulation of platelet formation|thrombopoietin receptor activity|Golgi apparatus|thrombopoietin-mediated signaling pathway|neuronal cell body|neutrophil homeostasis|neuron projection|plasma membrane|cell surface|basophil homeostasis|protein binding|positive regulation of lymphocyte proliferation|integral component of membrane|monocyte homeostasis|cellular response to hypoxia|eosinophil homeostasis|platelet aggregation,GO:1905221|GO:0038164|GO:0005794|GO:0038163|GO:0043025|GO:0001780|GO:0043005|GO:0005886|GO:0009986|GO:1990960|GO:0005515|GO:0050671|GO:0016021|GO:0035702|GO:0071456|GO:1990959|GO:0070527,,
UniProtKB:P05187,ALPP,"Alkaline phosphatase, placental type",PLAP,Homo sapiens,protein,UniProtKB,alkaline phosphatase pthr11596,PANTHER:PTHR11596,magnesium ion binding|zinc ion binding|protein binding|integral component of membrane|dephosphorylation|alkaline phosphatase activity|plasma membrane|cell surface|anchored component of membrane,GO:0000287|GO:0008270|GO:0005515|GO:0016021|GO:0016311|GO:0004035|GO:0005886|GO:0009986|GO:0031225,,
UniProtKB:Q14392,LRRC32,Transforming growth factor beta activator LRRC32,D11S833E,Homo sapiens,protein,UniProtKB,slit related leucine-rich repeat neuronal protein pthr24373,PANTHER:PTHR24373,transforming growth factor beta binding|integral component of plasma membrane|protein binding|positive regulation of gene expression|regulation of transforming growth factor beta3 activation|transforming growth factor beta receptor signaling pathway|negative regulation of activated T cell proliferation|regulation of transforming growth factor beta activation|nucleoplasm|cell surface|negative regulation of cytokine secretion|secondary palate development,GO:0050431|GO:0005887|GO:0005515|GO:0010628|GO:1901398|GO:0007179|GO:0046007|GO:1901388|GO:0005654|GO:0009986|GO:0050710|GO:0062009,,
UniProtKB:P37023,ACVRL1,Serine/threonine-protein kinase receptor R3,ACVRLK1|ALK1,Homo sapiens,protein,UniProtKB,transforming growth factor-beta receptor type i and ii pthr23255,PANTHER:PTHR23255,"retina vasculature development in camera-type eye|transforming growth factor beta receptor signaling pathway|blood vessel endothelial cell proliferation involved in sprouting angiogenesis|neuronal cell body|positive regulation of endothelial cell differentiation|artery development|venous blood vessel development|positive regulation of angiogenesis|negative regulation of endothelial cell differentiation|endocardial cushion morphogenesis|activin receptor signaling pathway|transforming growth factor beta binding|dendrite|response to hypoxia|in utero embryonic development|negative regulation of cell growth|positive regulation of transcription, DNA-templated|cellular response to BMP stimulus|BMP signaling pathway|lymphangiogenesis|dorsal aorta morphogenesis|wound healing, spreading of epidermal cells|negative regulation of DNA biosynthetic process|protein kinase binding|lymphatic endothelial cell differentiation|protein serine/threonine kinase activity|plasma membrane|transmembrane receptor protein serine/threonine kinase activity|negative regulation of focal adhesion assembly|negative regulation of gene expression|cellular response to transforming growth factor beta stimulus|protein binding|BMP receptor activity|metal ion binding|blood vessel maturation|activin receptor activity, type I|positive regulation of pathway-restricted SMAD protein phosphorylation|negative regulation of cell migration|negative regulation of cell population proliferation|endothelial tube morphogenesis|protein phosphorylation|positive regulation of transcription by RNA polymerase II|ATP binding|integral component of plasma membrane|activin binding|angiogenesis|negative regulation of endothelial cell migration|negative regulation of blood vessel endothelial cell migration|signal transduction|negative regulation of cell adhesion|regulation of transcription, DNA-templated|blood circulation|transforming growth factor beta-activated receptor activity|regulation of DNA replication|transforming growth factor beta receptor activity, type I|regulation of blood pressure|cell surface|regulation of blood vessel endothelial cell migration|positive regulation of BMP signaling pathway|blood vessel remodeling|SMAD binding|regulation of endothelial cell proliferation|negative regulation of endothelial cell proliferation|positive regulation of endothelial cell proliferation|positive regulation of chondrocyte differentiation",GO:0061298|GO:0007179|GO:0002043|GO:0043025|GO:0045603|GO:0060840|GO:0060841|GO:0045766|GO:0045602|GO:0003203|GO:0032924|GO:0050431|GO:0030425|GO:0001666|GO:0001701|GO:0030308|GO:0045893|GO:0071773|GO:0030509|GO:0001946|GO:0035912|GO:0035313|GO:2000279|GO:0019901|GO:0060836|GO:0004674|GO:0005886|GO:0004675|GO:0051895|GO:0010629|GO:0071560|GO:0005515|GO:0098821|GO:0046872|GO:0001955|GO:0016361|GO:0010862|GO:0030336|GO:0008285|GO:0061154|GO:0006468|GO:0045944|GO:0005524|GO:0005887|GO:0048185|GO:0001525|GO:0010596|GO:0043537|GO:0007165|GO:0007162|GO:0006355|GO:0008015|GO:0005024|GO:0006275|GO:0005025|GO:0008217|GO:0009986|GO:0043535|GO:0030513|GO:0001974|GO:0046332|GO:0001936|GO:0001937|GO:0001938|GO:0032332,,
UniProtKB:P05154,SERPINA5,Plasma serine protease inhibitor,PCI|PLANH3|PROCI,Homo sapiens,protein,UniProtKB,"serine protease inhibitor, serpin pthr11461",PANTHER:PTHR11461,acrosomal membrane|protein C inhibitor-plasma kallikrein complex|collagen-containing extracellular matrix|external side of plasma membrane|protease binding|heparin binding|blood coagulation|extracellular region|acrosin binding|negative regulation of hydrolase activity|extracellular exosome|phosphatidylcholine binding|protein C inhibitor-PLAU complex|protein C inhibitor-thrombin complex|protein C inhibitor-KLK3 complex|platelet dense tubular network|protein C inhibitor-TMPRSS7 complex|platelet alpha granule|protein C inhibitor-TMPRSS11E complex|protein C inhibitor-PLAT complex|spermatogenesis|fusion of sperm to egg plasma membrane involved in single fertilization|protein C inhibitor-coagulation factor Xa complex|protein C inhibitor-coagulation factor V complex|protein C inhibitor-coagulation factor XI complex|seminal vesicle development|retinoic acid binding|lipid transport|serine-type endopeptidase inhibitor activity|extracellular space|protein binding|glycosaminoglycan binding|membrane|protein-containing complex,GO:0002080|GO:0036030|GO:0062023|GO:0009897|GO:0002020|GO:0008201|GO:0007596|GO:0005576|GO:0032190|GO:0051346|GO:0070062|GO:0031210|GO:0036027|GO:0036028|GO:0036029|GO:0031094|GO:0036024|GO:0031091|GO:0036025|GO:0036026|GO:0007283|GO:0007342|GO:0097182|GO:0097181|GO:0097183|GO:0061107|GO:0001972|GO:0006869|GO:0004867|GO:0005615|GO:0005515|GO:0005539|GO:0016020|GO:0032991,,
UniProtKB:Q9NPG1,FZD3,Frizzled-3,,Homo sapiens,protein,UniProtKB,frizzled pthr11309,PANTHER:PTHR11309,"midbrain morphogenesis|lateral plasma membrane|Wnt-activated receptor activity|neuronal cell body|negative regulation of execution phase of apoptosis|G protein-coupled receptor activity|dendrite|neuron migration|neural tube closure|hair follicle development|presynaptic active zone|PDZ domain binding|canonical Wnt signaling pathway|cell proliferation in midbrain|Wnt signaling pathway, planar cell polarity pathway|Wnt-protein binding|response to electrical stimulus|axon|commissural neuron axon guidance|post-anal tail morphogenesis|G protein-coupled receptor signaling pathway|neuron differentiation|Wnt signaling pathway, calcium modulating pathway|positive regulation of neuroblast proliferation|sympathetic ganglion development|plasma membrane|cell surface|negative regulation of mitotic cell cycle, embryonic|protein binding|planar cell polarity pathway involved in axon guidance|cytoplasm|response to drug|establishment of planar polarity|inner ear morphogenesis|integral component of membrane|serotonergic neuron axon guidance|filopodium tip|apical plasma membrane|dopaminergic neuron axon guidance",GO:1904693|GO:0016328|GO:0042813|GO:0043025|GO:1900118|GO:0004930|GO:0030425|GO:0001764|GO:0001843|GO:0001942|GO:0048786|GO:0030165|GO:0060070|GO:0033278|GO:0060071|GO:0017147|GO:0051602|GO:0030424|GO:0071679|GO:0036342|GO:0007186|GO:0030182|GO:0007223|GO:0002052|GO:0061549|GO:0005886|GO:0009986|GO:0045976|GO:0005515|GO:1904938|GO:0005737|GO:0042493|GO:0001736|GO:0042472|GO:0016021|GO:0036515|GO:0032433|GO:0016324|GO:0036514,,
UniProtKB:O60676,CST8,Cystatin-8,CRES,Homo sapiens,protein,UniProtKB,family not named pthr47010,PANTHER:PTHR47010,cysteine-type endopeptidase inhibitor activity|cytoplasm|negative regulation of endopeptidase activity|extracellular region|cell surface,GO:0004869|GO:0005737|GO:0010951|GO:0005576|GO:0009986,,
UniProtKB:P05107,ITGB2,Integrin beta-2,CD18|MFI7,Homo sapiens,protein,UniProtKB,integrin beta subunit pthr10082,PANTHER:PTHR10082,"extracellular vesicle|cell adhesion molecule binding|negative regulation of dopamine metabolic process|endothelial cell migration|integrin complex|positive regulation of NF-kappaB transcription factor activity|positive regulation of angiogenesis|amyloid-beta clearance|inflammatory response|phagocytosis, engulfment|protein heterodimerization activity|apoptotic process|natural killer cell activation|ficolin-1-rich granule membrane|protein kinase binding|heat shock protein binding|cargo receptor activity|toll-like receptor 4 signaling pathway|cell-cell signaling|receptor complex|neutrophil degranulation|receptor clustering|receptor-mediated endocytosis|plasma membrane|positive regulation of neutrophil degranulation|leukocyte migration involved in inflammatory response|protein binding|metal ion binding|cell-cell adhesion via plasma-membrane adhesion molecules|endodermal cell differentiation|protein-containing complex|positive regulation of prostaglandin-E synthase activity|receptor internalization|cellular response to low-density lipoprotein particle stimulus|regulation of cell shape|positive regulation of nitric oxide biosynthetic process|positive regulation of protein targeting to membrane|positive regulation of microglial cell activation|external side of plasma membrane|cell adhesion|positive regulation of leukocyte adhesion to vascular endothelial cell|plasma membrane raft|leukocyte cell-cell adhesion|regulation of peptidyl-tyrosine phosphorylation|neutrophil migration|integrin-mediated signaling pathway|extracellular exosome|cytokine-mediated signaling pathway|cytoplasmic region|integrin alphaM-beta2 complex|integrin alphaL-beta2 complex|ICAM-3 receptor activity|tertiary granule membrane|specific granule membrane|regulation of immune response|cell-matrix adhesion|aging|positive regulation of neuron death|amyloid-beta binding|cell surface|microglial cell activation|complement component C3b binding|cellular extravasation|membrane|extracellular matrix organization|neutrophil chemotaxis|leukocyte migration|heterotypic cell-cell adhesion|cell-cell adhesion|positive regulation of superoxide anion generation",GO:1903561|GO:0050839|GO:0045963|GO:0043542|GO:0008305|GO:0051092|GO:0045766|GO:0097242|GO:0006954|GO:0006911|GO:0046982|GO:0006915|GO:0030101|GO:0101003|GO:0019901|GO:0031072|GO:0038024|GO:0034142|GO:0007267|GO:0043235|GO:0043312|GO:0043113|GO:0006898|GO:0005886|GO:0043315|GO:0002523|GO:0005515|GO:0046872|GO:0098742|GO:0035987|GO:0032991|GO:2000363|GO:0031623|GO:0071404|GO:0008360|GO:0045429|GO:0090314|GO:1903980|GO:0009897|GO:0007155|GO:1904996|GO:0044853|GO:0007159|GO:0050730|GO:1990266|GO:0007229|GO:0070062|GO:0019221|GO:0099568|GO:0034688|GO:0034687|GO:0030369|GO:0070821|GO:0035579|GO:0050776|GO:0007160|GO:0007568|GO:1901216|GO:0001540|GO:0009986|GO:0001774|GO:0001851|GO:0045123|GO:0016020|GO:0030198|GO:0030593|GO:0050900|GO:0034113|GO:0098609|GO:0032930,,
